Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C2	36	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
0,000	1:1:0	E4	64	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
0,370	1:1:64	G2	43	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
0,741	1:1:128	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
1,111	1:2:0	G2	43	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
1,111	1:2:0	F4	65	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
1,481	1:2:64	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
1,852	1:2:128	G3	55	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
2,222	1:3:0	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
2,222	1:3:0	G4	67	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
2,593	1:3:64	G3	55	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
2,963	1:3:128	C4	60	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
3,333	1:4:0	G2	43	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
3,333	1:4:0	A4	69	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
3,704	1:4:64	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
4,074	1:4:128	G3	55	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
4,444	2:1:0	C2	36	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
4,444	2:1:0	B4	71	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
4,815	2:1:64	G2	43	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
5,185	2:1:128	E3	52	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
5,556	2:2:0	G2	43	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
5,556	2:2:0	C5	72	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
5,926	2:2:64	E3	52	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
6,296	2:2:128	C4	60	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
6,667	2:3:0	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
6,667	2:3:0	D5	74	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
7,037	2:3:64	G3	55	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
7,407	2:3:128	E4	64	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
7,778	2:4:0	G2	43	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
7,778	2:4:0	E5	76	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
8,148	2:4:64	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
8,519	2:4:128	B3	59	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
8,889	3:1:0	F2	41	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
8,889	3:1:0	G5	79	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
9,259	3:1:64	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
9,630	3:1:128	A3	57	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
10,000	3:2:0	C3	48	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
10,000	3:2:0	F5	77	76	ON	0,885	153	0	0 (Acoustic Grand Piano)
10,370	3:2:64	A3	57	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
10,741	3:2:128	F4	65	64	ON	0,295	51	0	0 (Acoustic Grand Piano)
