Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C3	48	76	OFF	0,078	25	0	N/A
0,100	1:1:32	D#2	39	76	OFF	0,078	25	0	N/A
0,200	1:1:64	C2	36	76	OFF	0,078	25	0	N/A
0,300	1:1:96	G1	31	76	OFF	0,078	25	0	N/A
2,400	2:1:0	G5	79	64	OFF	1,200	384	0	N/A
2,400	2:1:0	C6	84	64	OFF	1,200	384	0	N/A
3,600	2:3:0	G#5	80	64	OFF	3,119	998	0	N/A
3,600	2:3:0	D6	86	64	OFF	3,119	998	0	N/A
7,200	4:1:0	C3	48	76	OFF	0,078	25	0	N/A
7,300	4:1:32	D#2	39	76	OFF	0,078	25	0	N/A
7,400	4:1:64	C2	36	76	OFF	0,078	25	0	N/A
7,500	4:1:96	G1	31	76	OFF	0,078	25	0	N/A
8,400	4:3:0	D4	62	64	OFF	1,678	537	0	N/A
8,400	4:3:0	G5	79	64	OFF	1,678	537	0	N/A
8,400	4:3:0	C6	84	64	OFF	1,678	537	0	N/A
10,200	5:2:0	D#4	63	64	OFF	1,438	460	0	N/A
10,200	5:2:0	G#5	80	64	OFF	1,438	460	0	N/A
10,200	5:2:0	D6	86	64	OFF	1,438	460	0	N/A
