Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	B2	47	64	OFF	0,342	153	0	N/A
0,000	1:1:0	B4	71	80	OFF	0,342	153	0	N/A
0,429	1:2:0	F#3	54	64	OFF	0,342	153	0	N/A
0,429	1:2:0	B3	59	64	OFF	0,342	153	0	N/A
0,429	1:2:0	D#4	63	64	OFF	0,342	153	0	N/A
0,429	1:2:0	F#4	66	80	OFF	0,114	51	0	N/A
0,571	1:2:64	G#4	68	80	OFF	0,114	51	0	N/A
0,714	1:2:128	A#4	70	80	OFF	0,114	51	0	N/A
0,857	1:3:0	B3	59	64	OFF	0,342	153	0	N/A
0,857	1:3:0	D#4	63	64	OFF	0,342	153	0	N/A
0,857	1:3:0	F#4	66	64	OFF	0,342	153	0	N/A
0,857	1:3:0	B4	71	80	OFF	0,114	51	0	N/A
1,000	1:3:64	C#5	73	80	OFF	0,114	51	0	N/A
1,143	1:3:128	D#5	75	80	OFF	0,114	51	0	N/A
1,286	2:1:0	F#3	54	64	OFF	0,342	153	0	N/A
1,286	2:1:0	D#5	75	80	OFF	0,114	51	0	N/A
1,429	2:1:64	C#5	73	80	OFF	0,114	51	0	N/A
1,571	2:1:128	B4	71	80	OFF	0,114	51	0	N/A
1,714	2:2:0	A#3	58	64	OFF	0,342	153	0	N/A
1,714	2:2:0	C#4	61	64	OFF	0,342	153	0	N/A
1,714	2:2:0	E4	64	64	OFF	0,342	153	0	N/A
1,714	2:2:0	C#5	73	80	OFF	0,114	51	0	N/A
1,857	2:2:64	D#5	75	80	OFF	0,114	51	0	N/A
2,000	2:2:128	E5	76	80	OFF	0,114	51	0	N/A
2,143	2:3:0	C#4	61	64	OFF	0,342	153	0	N/A
2,143	2:3:0	E4	64	64	OFF	0,342	153	0	N/A
2,143	2:3:0	F#4	66	64	OFF	0,342	153	0	N/A
2,143	2:3:0	F#5	78	80	OFF	0,114	51	0	N/A
2,286	2:3:64	G#5	80	80	OFF	0,114	51	0	N/A
2,429	2:3:128	A#5	82	80	OFF	0,114	51	0	N/A
2,571	3:1:0	B2	47	64	OFF	0,342	153	0	N/A
2,571	3:1:0	B5	83	80	OFF	0,342	153	0	N/A
3,000	3:2:0	F#3	54	64	OFF	0,342	153	0	N/A
3,000	3:2:0	B3	59	64	OFF	0,342	153	0	N/A
3,000	3:2:0	D#4	63	64	OFF	0,342	153	0	N/A
3,000	3:2:0	F#5	78	80	OFF	0,342	153	0	N/A
3,429	3:3:0	B3	59	64	OFF	0,342	153	0	N/A
3,429	3:3:0	D#4	63	64	OFF	0,342	153	0	N/A
3,429	3:3:0	F#4	66	64	OFF	0,342	153	0	N/A
3,429	3:3:0	B5	83	80	OFF	0,114	51	0	N/A
3,571	3:3:64	A#5	82	80	OFF	0,114	51	0	N/A
3,714	3:3:128	G#5	80	80	OFF	0,114	51	0	N/A
3,857	4:1:0	E3	52	64	OFF	0,342	153	0	N/A
3,857	4:1:0	F#5	78	80	OFF	0,114	51	0	N/A
4,000	4:1:64	E5	76	80	OFF	0,114	51	0	N/A
4,143	4:1:128	D#5	75	80	OFF	0,114	51	0	N/A
4,286	4:2:0	G#3	56	64	OFF	0,342	153	0	N/A
4,286	4:2:0	B3	59	64	OFF	0,342	153	0	N/A
4,286	4:2:0	E4	64	64	OFF	0,342	153	0	N/A
4,286	4:2:0	F#5	78	80	OFF	0,342	153	0	N/A
4,714	4:3:0	B3	59	64	OFF	0,342	153	0	N/A
4,714	4:3:0	E4	64	64	OFF	0,342	153	0	N/A
4,714	4:3:0	G#4	68	64	OFF	0,342	153	0	N/A
4,714	4:3:0	E5	76	80	OFF	0,342	153	0	N/A
5,143	5:1:0	E3	52	64	OFF	0,342	153	0	N/A
5,143	5:1:0	E5	76	80	OFF	0,114	51	0	N/A
5,286	5:1:64	D#5	75	80	OFF	0,114	51	0	N/A
5,429	5:1:128	C#5	73	80	OFF	0,114	51	0	N/A
5,571	5:2:0	G#3	56	64	OFF	0,342	153	0	N/A
