Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C2	36	60	ON	0,885	153	0	N/A
0,000	1:1:0	C3	48	60	ON	0,885	153	0	N/A
0,000	1:1:0	C5	72	80	ON	0,885	153	0	N/A
1,111	1:2:0	D#3	51	60	ON	0,885	153	0	N/A
1,111	1:2:0	G3	55	60	ON	0,885	153	0	N/A
1,111	1:2:0	C4	60	60	ON	0,885	153	0	N/A
1,111	1:2:0	G4	67	80	ON	0,885	153	0	N/A
2,222	1:3:0	D#3	51	60	ON	0,885	153	0	N/A
2,222	1:3:0	G3	55	60	ON	0,885	153	0	N/A
2,222	1:3:0	C4	60	60	ON	0,885	153	0	N/A
2,222	1:3:0	D#5	75	80	ON	0,885	153	0	N/A
3,333	2:1:0	G2	43	60	ON	0,885	153	0	N/A
3,333	2:1:0	D#5	75	80	ON	0,885	153	0	N/A
4,444	2:2:0	D3	50	60	ON	0,885	153	0	N/A
4,444	2:2:0	G3	55	60	ON	0,885	153	0	N/A
4,444	2:2:0	C4	60	60	ON	0,885	153	0	N/A
4,444	2:2:0	D5	74	80	ON	1,331	230	0	N/A
5,556	2:3:0	D3	50	60	ON	0,885	153	0	N/A
5,556	2:3:0	G3	55	60	ON	0,885	153	0	N/A
5,556	2:3:0	B3	59	60	ON	0,885	153	0	N/A
6,111	2:3:96	G4	67	80	ON	0,440	76	0	N/A
6,667	3:1:0	C3	48	60	ON	0,885	153	0	N/A
6,667	3:1:0	C5	72	80	ON	5,110	883	0	N/A
7,778	3:2:0	D#3	51	60	ON	0,885	153	0	N/A
7,778	3:2:0	G#3	56	60	ON	0,885	153	0	N/A
7,778	3:2:0	C4	60	60	ON	0,885	153	0	N/A
8,889	3:3:0	D#3	51	60	ON	0,885	153	0	N/A
8,889	3:3:0	G#3	56	60	ON	0,885	153	0	N/A
8,889	3:3:0	C4	60	60	ON	0,885	153	0	N/A
10,000	4:1:0	C2	36	60	ON	0,885	153	0	N/A
10,000	4:1:0	C3	48	60	ON	0,885	153	0	N/A
11,111	4:2:0	D#3	51	60	ON	0,885	153	0	N/A
11,111	4:2:0	G3	55	60	ON	0,885	153	0	N/A
11,111	4:2:0	C4	60	60	ON	0,885	153	0	N/A
