Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	F3	53	64	OFF	0,141	45	0	N/A
0,000	1:1:0	A3	57	64	OFF	0,141	45	0	N/A
0,000	1:1:0	C4	60	64	OFF	0,141	45	0	N/A
0,000	1:1:0	A5	81	84	OFF	0,319	102	0	N/A
0,400	1:1:128	A5	81	84	OFF	0,159	51	0	N/A
0,600	1:2:0	A3	57	64	OFF	0,141	45	0	N/A
0,600	1:2:0	C4	60	64	OFF	0,141	45	0	N/A
0,600	1:2:0	F4	65	64	OFF	0,141	45	0	N/A
0,600	1:2:0	A5	81	84	OFF	0,159	51	0	N/A
0,800	1:2:64	F5	77	84	OFF	0,100	32	0	N/A
0,900	1:2:96	F5	77	80	OFF	0,078	25	0	N/A
1,000	1:2:128	A5	81	84	OFF	0,159	51	0	N/A
1,200	1:3:0	A#3	58	64	OFF	0,141	45	0	N/A
1,200	1:3:0	D4	62	64	OFF	0,141	45	0	N/A
1,200	1:3:0	F4	65	64	OFF	0,141	45	0	N/A
1,200	1:3:0	A#5	82	84	OFF	0,159	51	0	N/A
1,400	1:3:64	G5	79	84	OFF	0,159	51	0	N/A
1,600	1:3:128	D6	86	84	OFF	0,159	51	0	N/A
1,800	1:4:0	A3	57	64	OFF	0,141	45	0	N/A
1,800	1:4:0	C4	60	64	OFF	0,141	45	0	N/A
1,800	1:4:0	F4	65	64	OFF	0,141	45	0	N/A
1,800	1:4:0	C6	84	84	OFF	0,159	51	0	N/A
2,000	1:4:64	F6	89	84	OFF	0,100	32	0	N/A
2,100	1:4:96	F6	89	80	OFF	0,078	25	0	N/A
2,200	1:4:128	C6	84	84	OFF	0,159	51	0	N/A
2,400	2:1:0	A#3	58	64	OFF	0,141	45	0	N/A
2,400	2:1:0	D4	62	64	OFF	0,141	45	0	N/A
2,400	2:1:0	F4	65	64	OFF	0,141	45	0	N/A
2,400	2:1:0	A#5	82	84	OFF	0,159	51	0	N/A
2,600	2:1:64	A5	81	84	OFF	0,159	51	0	N/A
2,800	2:1:128	G5	79	84	OFF	0,159	51	0	N/A
3,000	2:2:0	A3	57	64	OFF	0,141	45	0	N/A
3,000	2:2:0	C4	60	64	OFF	0,141	45	0	N/A
3,000	2:2:0	F4	65	64	OFF	0,141	45	0	N/A
3,000	2:2:0	A5	81	84	OFF	0,078	25	0	N/A
3,100	2:2:32	G5	79	84	OFF	0,078	25	0	N/A
3,200	2:2:64	F5	77	84	OFF	0,159	51	0	N/A
3,400	2:2:128	A5	81	84	OFF	0,159	51	0	N/A
3,600	2:3:0	A#3	58	64	OFF	0,141	45	0	N/A
3,600	2:3:0	D4	62	64	OFF	0,141	45	0	N/A
3,600	2:3:0	F4	65	64	OFF	0,141	45	0	N/A
3,600	2:3:0	A#5	82	84	OFF	0,100	32	0	N/A
3,700	2:3:32	A#5	82	80	OFF	0,078	25	0	N/A
3,800	2:3:64	A5	81	84	OFF	0,159	51	0	N/A
4,000	2:3:128	F5	77	84	OFF	0,159	51	0	N/A
4,200	2:4:0	A#3	58	64	OFF	0,141	45	0	N/A
4,200	2:4:0	C4	60	64	OFF	0,141	45	0	N/A
4,200	2:4:0	E4	64	64	OFF	0,141	45	0	N/A
4,200	2:4:0	G5	79	84	OFF	0,159	51	0	N/A
4,400	2:4:64	E5	76	84	OFF	0,159	51	0	N/A
4,600	2:4:128	C5	72	84	OFF	0,100	32	0	N/A
4,700	2:4:160	C5	72	80	OFF	0,078	25	0	N/A
4,800	3:1:0	A3	57	64	OFF	0,141	45	0	N/A
4,800	3:1:0	C4	60	64	OFF	0,141	45	0	N/A
4,800	3:1:0	F4	65	64	OFF	0,141	45	0	N/A
4,800	3:1:0	F5	77	84	OFF	0,319	102	0	N/A
5,200	3:1:128	E5	76	84	OFF	0,159	51	0	N/A
5,400	3:2:0	F3	53	64	OFF	0,141	45	0	N/A
5,400	3:2:0	A3	57	64	OFF	0,141	45	0	N/A
5,400	3:2:0	C4	60	64	OFF	0,141	45	0	N/A
5,400	3:2:0	F5	77	84	OFF	0,159	51	0	N/A
5,600	3:2:64	C5	72	84	OFF	0,100	32	0	N/A
5,700	3:2:96	C5	72	80	OFF	0,078	25	0	N/A
5,800	3:2:128	C5	72	84	OFF	0,159	51	0	N/A
6,000	3:3:0	F3	53	64	OFF	0,141	45	0	N/A
6,000	3:3:0	A#3	58	64	OFF	0,141	45	0	N/A
6,000	3:3:0	D4	62	64	OFF	0,141	45	0	N/A
6,000	3:3:0	C5	72	84	OFF	0,159	51	0	N/A
6,200	3:3:64	E5	76	84	OFF	0,159	51	0	N/A
6,400	3:3:128	C5	72	84	OFF	0,159	51	0	N/A
6,600	3:4:0	A#3	58	64	OFF	0,141	45	0	N/A
6,600	3:4:0	D4	62	64	OFF	0,141	45	0	N/A
6,600	3:4:0	F4	65	64	OFF	0,141	45	0	N/A
6,600	3:4:0	D5	74	80	OFF	0,078	25	0	N/A
6,700	3:4:32	D5	74	80	OFF	0,078	25	0	N/A
6,800	3:4:64	C5	72	84	OFF	0,159	51	0	N/A
7,000	3:4:128	A#4	70	84	OFF	0,159	51	0	N/A
7,200	4:1:0	A3	57	64	OFF	0,141	45	0	N/A
7,200	4:1:0	C4	60	64	OFF	0,141	45	0	N/A
7,200	4:1:0	F4	65	64	OFF	0,141	45	0	N/A
7,200	4:1:0	A4	69	84	OFF	0,159	51	0	N/A
7,400	4:1:64	G4	67	84	OFF	0,159	51	0	N/A
7,600	4:1:128	A4	69	84	OFF	0,159	51	0	N/A
7,800	4:2:0	C4	60	64	OFF	0,141	45	0	N/A
7,800	4:2:0	F4	65	64	OFF	0,141	45	0	N/A
7,800	4:2:0	A4	69	64	OFF	0,141	45	0	N/A
7,800	4:2:0	C5	72	84	OFF	0,159	51	0	N/A
8,000	4:2:64	F5	77	84	OFF	0,100	32	0	N/A
8,100	4:2:96	F5	77	80	OFF	0,078	25	0	N/A
8,200	4:2:128	C5	72	84	OFF	0,100	32	0	N/A
8,300	4:2:160	C5	72	80	OFF	0,078	25	0	N/A
8,400	4:3:0	A#3	58	64	OFF	0,141	45	0	N/A
8,400	4:3:0	C4	60	64	OFF	0,141	45	0	N/A
8,400	4:3:0	G4	67	64	OFF	0,141	45	0	N/A
8,400	4:3:0	D5	74	84	OFF	0,159	51	0	N/A
8,600	4:3:64	F5	77	84	OFF	0,100	32	0	N/A
8,700	4:3:96	F5	77	80	OFF	0,078	25	0	N/A
8,800	4:3:128	E5	76	84	OFF	0,100	32	0	N/A
8,900	4:3:160	E5	76	80	OFF	0,078	25	0	N/A
9,000	4:4:0	A3	57	64	OFF	0,563	180	0	N/A
9,000	4:4:0	C4	60	64	OFF	0,563	180	0	N/A
9,000	4:4:0	F4	65	64	OFF	0,563	180	0	N/A
9,000	4:4:0	F5	77	84	OFF	0,478	153	0	N/A
