Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	B1	35	64	ON	0,344	76	0	N/A
0,000	1:1:0	B4	71	80	ON	2,083	460	0	N/A
0,435	1:1:96	F#2	42	64	ON	0,344	76	0	N/A
0,870	1:2:0	B2	47	64	ON	0,344	76	0	N/A
1,304	1:2:96	C#3	49	64	ON	0,344	76	0	N/A
1,739	1:3:0	D#3	51	64	ON	0,344	76	0	N/A
2,174	1:3:96	F#3	54	64	ON	0,344	76	0	N/A
2,609	2:1:0	B3	59	64	ON	0,344	76	0	N/A
2,609	2:1:0	B4	71	80	ON	0,693	153	0	N/A
3,043	2:1:96	C#4	61	64	ON	0,344	76	0	N/A
3,478	2:2:0	D#4	63	64	ON	0,344	76	0	N/A
3,478	2:2:0	C#5	73	80	ON	1,042	230	0	N/A
3,913	2:2:96	C#4	61	64	ON	0,344	76	0	N/A
4,348	2:3:0	B3	59	64	ON	0,344	76	0	N/A
4,783	2:3:96	F#3	54	64	ON	0,344	76	0	N/A
4,783	2:3:96	D#5	75	80	ON	0,344	76	0	N/A
5,217	3:1:0	B1	35	64	ON	0,344	76	0	N/A
5,217	3:1:0	D#5	75	80	ON	2,083	460	0	N/A
5,652	3:1:96	F#2	42	64	ON	0,344	76	0	N/A
6,087	3:2:0	B2	47	64	ON	0,344	76	0	N/A
6,522	3:2:96	C#3	49	64	ON	0,344	76	0	N/A
6,957	3:3:0	D#3	51	64	ON	0,344	76	0	N/A
7,391	3:3:96	F#3	54	64	ON	0,344	76	0	N/A
7,826	4:1:0	B3	59	64	ON	0,344	76	0	N/A
7,826	4:1:0	B4	71	80	ON	0,693	153	0	N/A
7,826	4:1:0	D#5	75	80	ON	0,693	153	0	N/A
8,261	4:1:96	C#4	61	64	ON	0,344	76	0	N/A
8,696	4:2:0	D#4	63	64	ON	0,344	76	0	N/A
8,696	4:2:0	C#5	73	80	ON	1,042	230	0	N/A
8,696	4:2:0	E5	76	80	ON	1,042	230	0	N/A
9,130	4:2:96	C#4	61	64	ON	0,344	76	0	N/A
9,565	4:3:0	B3	59	64	ON	0,344	76	0	N/A
10,000	4:3:96	F#3	54	64	ON	0,344	76	0	N/A
10,000	4:3:96	D#5	75	80	ON	0,344	76	0	N/A
10,000	4:3:96	F#5	78	80	ON	0,344	76	0	N/A
10,435	5:1:0	E2	40	64	ON	0,344	76	0	N/A
10,435	5:1:0	D#5	75	80	ON	0,693	153	0	N/A
10,435	5:1:0	F#5	78	80	ON	0,693	153	0	N/A
10,870	5:1:96	B2	47	64	ON	0,344	76	0	N/A
11,304	5:2:0	G#3	56	64	ON	0,344	76	0	N/A
11,304	5:2:0	B4	71	80	ON	1,390	307	0	N/A
11,739	5:2:96	F#3	54	64	ON	0,344	76	0	N/A
12,174	5:3:0	E3	52	64	ON	0,344	76	0	N/A
12,609	5:3:96	D#3	51	64	ON	0,344	76	0	N/A
