Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	G#2	44	60	ON	0,594	76	0	N/A
0,000	1:1:0	D#5	75	80	ON	1,195	153	0	N/A
0,750	1:1:96	D#3	51	60	ON	0,594	76	0	N/A
1,500	1:2:0	B3	59	60	ON	0,594	76	0	N/A
2,250	1:2:96	D#3	51	60	ON	0,594	76	0	N/A
2,250	1:2:96	G#4	68	64	ON	0,703	90	0	N/A
2,250	1:2:96	E5	76	80	ON	0,703	90	0	N/A
3,000	1:3:0	C#3	49	60	ON	0,594	76	0	N/A
3,000	1:3:0	G#4	68	64	ON	1,406	180	0	N/A
3,000	1:3:0	D#5	75	80	ON	1,406	180	0	N/A
3,750	1:3:96	G#3	56	60	ON	0,594	76	0	N/A
4,500	1:4:0	D#3	51	60	ON	0,594	76	0	N/A
4,500	1:4:0	G4	67	64	ON	1,406	180	0	N/A
4,500	1:4:0	C#5	73	80	ON	1,406	180	0	N/A
5,250	1:4:96	D#2	39	60	ON	0,594	76	0	N/A
6,000	2:1:0	G#2	44	60	ON	0,594	76	0	N/A
6,000	2:1:0	G#4	68	64	ON	4,797	614	0	N/A
6,000	2:1:0	B4	71	64	ON	4,797	614	0	N/A
6,750	2:1:96	D#3	51	60	ON	0,594	76	0	N/A
7,500	2:2:0	G#3	56	60	ON	0,594	76	0	N/A
8,250	2:2:96	D#3	51	60	ON	0,594	76	0	N/A
9,000	2:3:0	A#3	58	60	ON	0,594	76	0	N/A
9,750	2:3:96	D#3	51	60	ON	0,594	76	0	N/A
10,500	2:4:0	G#3	56	60	ON	0,594	76	0	N/A
11,250	2:4:96	G#2	44	60	ON	0,594	76	0	N/A
12,000	3:1:0	D#2	39	60	ON	0,594	76	0	N/A
12,000	3:1:0	A#4	70	80	ON	1,195	153	0	N/A
12,750	3:1:96	A#2	46	60	ON	0,594	76	0	N/A
13,500	3:2:0	D#3	51	60	ON	0,594	76	0	N/A
14,250	3:2:96	G3	55	60	ON	0,594	76	0	N/A
14,250	3:2:96	D#4	63	80	ON	0,703	90	0	N/A
