Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	G3	55	64	OFF	0,166	76	0	N/A
0,210	1:1:96	G3	55	64	OFF	0,166	76	0	N/A
0,420	1:2:0	B3	59	64	OFF	0,166	76	0	N/A
0,629	1:2:96	D4	62	64	OFF	0,166	76	0	N/A
0,839	1:3:0	D3	50	64	OFF	0,671	307	0	N/A
1,259	1:4:0	E5	76	80	OFF	0,083	38	0	N/A
1,364	1:4:48	F#5	78	80	OFF	0,083	38	0	N/A
1,469	1:4:96	G5	79	80	OFF	0,083	38	0	N/A
1,573	1:4:144	A5	81	80	OFF	0,083	38	0	N/A
1,678	2:1:0	G3	55	64	OFF	0,166	76	0	N/A
1,678	2:1:0	G5	79	80	OFF	1,005	460	0	N/A
1,678	2:1:0	B5	83	80	OFF	1,005	460	0	N/A
1,888	2:1:96	G3	55	64	OFF	0,166	76	0	N/A
2,098	2:2:0	B3	59	64	OFF	0,166	76	0	N/A
2,308	2:2:96	D4	62	64	OFF	0,166	76	0	N/A
2,517	2:3:0	D3	50	64	OFF	0,671	307	0	N/A
2,937	2:4:0	B5	83	80	OFF	0,083	38	0	N/A
3,042	2:4:48	C6	84	80	OFF	0,083	38	0	N/A
3,147	2:4:96	D6	86	80	OFF	0,166	76	0	N/A
3,357	3:1:0	A3	57	64	OFF	0,166	76	0	N/A
3,357	3:1:0	G5	79	80	OFF	0,166	76	0	N/A
3,357	3:1:0	D6	86	80	OFF	0,166	76	0	N/A
3,566	3:1:96	A3	57	64	OFF	0,166	76	0	N/A
3,566	3:1:96	A5	81	80	OFF	0,166	76	0	N/A
3,566	3:1:96	C6	84	80	OFF	0,881	403	0	N/A
3,776	3:2:0	C4	60	64	OFF	0,166	76	0	N/A
3,986	3:2:96	D4	62	64	OFF	0,166	76	0	N/A
4,196	3:3:0	D3	50	64	OFF	0,671	307	0	N/A
4,615	3:4:0	A5	81	80	OFF	0,083	38	0	N/A
4,615	3:4:0	C6	84	80	OFF	0,083	38	0	N/A
4,720	3:4:48	D6	86	80	OFF	0,083	38	0	N/A
4,825	3:4:96	C6	84	80	OFF	0,083	38	0	N/A
4,930	3:4:144	B5	83	80	OFF	0,083	38	0	N/A
5,035	4:1:0	F#3	54	64	OFF	0,166	76	0	N/A
5,035	4:1:0	F#5	78	80	OFF	1,005	460	0	N/A
5,035	4:1:0	A5	81	80	OFF	1,005	460	0	N/A
5,245	4:1:96	F#3	54	64	OFF	0,166	76	0	N/A
5,455	4:2:0	C4	60	64	OFF	0,166	76	0	N/A
5,664	4:2:96	D4	62	64	OFF	0,166	76	0	N/A
5,874	4:3:0	D3	50	64	OFF	0,671	307	0	N/A
6,294	4:4:0	F#5	78	80	OFF	0,083	38	0	N/A
6,294	4:4:0	B5	83	80	OFF	0,083	38	0	N/A
6,399	4:4:48	C6	84	80	OFF	0,083	38	0	N/A
6,503	4:4:96	B5	83	80	OFF	0,083	38	0	N/A
6,608	4:4:144	A5	81	80	OFF	0,083	38	0	N/A
6,713	5:1:0	G3	55	64	OFF	0,166	76	0	N/A
6,713	5:1:0	G5	79	80	OFF	1,005	460	0	N/A
6,923	5:1:96	G3	55	64	OFF	0,166	76	0	N/A
7,133	5:2:0	A3	57	64	OFF	0,166	76	0	N/A
7,343	5:2:96	B3	59	64	OFF	0,166	76	0	N/A
7,552	5:3:0	D3	50	64	OFF	0,671	307	0	N/A
7,972	5:4:0	E5	76	80	OFF	0,083	38	0	N/A
8,077	5:4:48	F#5	78	80	OFF	0,083	38	0	N/A
8,182	5:4:96	G5	79	80	OFF	0,083	38	0	N/A
8,287	5:4:144	A5	81	80	OFF	0,083	38	0	N/A
8,392	6:1:0	G3	55	64	OFF	0,166	76	0	N/A
8,392	6:1:0	G5	79	80	OFF	1,005	460	0	N/A
8,392	6:1:0	B5	83	80	OFF	1,005	460	0	N/A
8,601	6:1:96	G3	55	64	OFF	0,166	76	0	N/A
8,811	6:2:0	B3	59	64	OFF	0,166	76	0	N/A
9,021	6:2:96	D4	62	64	OFF	0,166	76	0	N/A
9,231	6:3:0	D3	50	64	OFF	0,671	307	0	N/A
9,650	6:4:0	B5	83	80	OFF	0,083	38	0	N/A
9,755	6:4:48	C6	84	80	OFF	0,083	38	0	N/A
9,860	6:4:96	D6	86	80	OFF	0,166	76	0	N/A
10,070	7:1:0	A3	57	64	OFF	0,166	76	0	N/A
10,070	7:1:0	G5	79	80	OFF	0,166	76	0	N/A
10,070	7:1:0	D6	86	80	OFF	0,166	76	0	N/A
10,280	7:1:96	A3	57	64	OFF	0,166	76	0	N/A
10,280	7:1:96	A5	81	80	OFF	0,166	76	0	N/A
10,280	7:1:96	C6	84	80	OFF	0,881	403	0	N/A
10,490	7:2:0	C4	60	64	OFF	0,166	76	0	N/A
10,699	7:2:96	D4	62	64	OFF	0,166	76	0	N/A
10,909	7:3:0	D3	50	64	OFF	0,393	180	0	N/A
