Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	G3	55	64	OFF	0,261	76	0	N/A
0,000	1:1:0	D5	74	80	OFF	0,261	76	0	N/A
0,330	1:1:96	B3	59	64	OFF	0,261	76	0	N/A
0,330	1:1:96	D4	62	64	OFF	0,261	76	0	N/A
0,330	1:1:96	D5	74	80	OFF	0,261	76	0	N/A
0,659	1:2:0	C4	60	64	OFF	0,261	76	0	N/A
0,659	1:2:0	E4	64	64	OFF	0,261	76	0	N/A
0,659	1:2:0	E5	76	80	OFF	0,196	57	0	N/A
0,907	1:2:72	D5	74	80	OFF	0,065	19	0	N/A
0,989	1:2:96	D3	50	64	OFF	0,261	76	0	N/A
0,989	1:2:96	C5	72	80	OFF	0,196	57	0	N/A
1,236	1:2:168	E5	76	80	OFF	0,065	19	0	N/A
1,319	2:1:0	G3	55	64	OFF	0,261	76	0	N/A
1,319	2:1:0	D5	74	80	OFF	0,261	76	0	N/A
1,648	2:1:96	B3	59	64	OFF	0,261	76	0	N/A
1,648	2:1:96	D4	62	64	OFF	0,261	76	0	N/A
1,648	2:1:96	G5	79	80	OFF	0,261	76	0	N/A
1,978	2:2:0	C4	60	64	OFF	0,261	76	0	N/A
1,978	2:2:0	E4	64	64	OFF	0,261	76	0	N/A
1,978	2:2:0	C5	72	80	OFF	0,196	57	0	N/A
2,225	2:2:72	B4	71	80	OFF	0,065	19	0	N/A
2,308	2:2:96	D3	50	64	OFF	0,261	76	0	N/A
2,308	2:2:96	A4	69	80	OFF	0,196	57	0	N/A
2,555	2:2:168	C5	72	80	OFF	0,065	19	0	N/A
2,637	3:1:0	G3	55	64	OFF	0,261	76	0	N/A
2,637	3:1:0	B4	71	80	OFF	0,261	76	0	N/A
2,967	3:1:96	B3	59	64	OFF	0,261	76	0	N/A
2,967	3:1:96	D4	62	64	OFF	0,261	76	0	N/A
2,967	3:1:96	G4	67	80	OFF	0,261	76	0	N/A
3,297	3:2:0	D3	50	64	OFF	0,261	76	0	N/A
3,297	3:2:0	A4	69	80	OFF	0,196	57	0	N/A
3,544	3:2:72	G4	67	80	OFF	0,065	19	0	N/A
3,626	3:2:96	C4	60	64	OFF	0,261	76	0	N/A
3,626	3:2:96	D4	62	64	OFF	0,261	76	0	N/A
3,626	3:2:96	F#4	66	80	OFF	0,196	57	0	N/A
3,874	3:2:168	A4	69	80	OFF	0,065	19	0	N/A
3,956	4:1:0	G3	55	64	OFF	0,261	76	0	N/A
3,956	4:1:0	G4	67	80	OFF	0,618	180	0	N/A
4,286	4:1:96	B3	59	64	OFF	0,261	76	0	N/A
4,286	4:1:96	D4	62	64	OFF	0,261	76	0	N/A
4,615	4:2:0	D3	50	64	OFF	0,196	57	0	N/A
4,615	4:2:0	B3	59	64	OFF	0,196	57	0	N/A
4,615	4:2:0	D4	62	80	OFF	0,082	24	0	N/A
