Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	A1	33	76	ON	0,639	90	0	N/A
0,000	1:1:0	A2	45	76	ON	0,639	90	0	N/A
0,682	1:1:96	B1	35	76	ON	0,639	90	0	N/A
0,682	1:1:96	B2	47	76	ON	0,639	90	0	N/A
1,364	2:1:0	E1	28	76	ON	1,278	180	0	N/A
1,364	2:1:0	B1	35	76	ON	1,278	180	0	N/A
1,364	2:1:0	E2	40	76	ON	1,278	180	0	N/A
2,727	2:2:0	B1	35	76	ON	0,455	64	0	N/A
2,727	2:2:0	E2	40	76	ON	0,455	64	0	N/A
3,182	2:2:64	B1	35	76	ON	0,455	64	0	N/A
3,182	2:2:64	E2	40	76	ON	0,455	64	0	N/A
3,409	2:2:96	E3	52	76	ON	0,639	90	0	N/A
3,409	2:2:96	B3	59	76	ON	0,639	90	0	N/A
3,409	2:2:96	E4	64	76	ON	0,639	90	0	N/A
3,636	2:2:128	B1	35	76	ON	0,455	64	0	N/A
3,636	2:2:128	E2	40	76	ON	0,455	64	0	N/A
4,091	2:3:0	G1	31	76	ON	0,540	76	0	N/A
4,091	2:3:0	D2	38	76	ON	0,540	76	0	N/A
4,091	2:3:0	G2	43	76	ON	0,540	76	0	N/A
4,091	2:3:0	G3	55	76	ON	2,557	360	0	N/A
4,091	2:3:0	A#3	58	76	ON	2,557	360	0	N/A
4,091	2:3:0	G4	67	76	ON	2,557	360	0	N/A
4,773	2:3:96	G1	31	76	ON	0,540	76	0	N/A
4,773	2:3:96	D2	38	76	ON	0,540	76	0	N/A
4,773	2:3:96	G2	43	76	ON	0,540	76	0	N/A
5,455	2:4:0	G1	31	76	ON	0,362	51	0	N/A
5,455	2:4:0	D2	38	76	ON	0,362	51	0	N/A
5,455	2:4:0	G2	43	76	ON	0,362	51	0	N/A
5,909	2:4:64	G1	31	76	ON	0,362	51	0	N/A
5,909	2:4:64	D2	38	76	ON	0,362	51	0	N/A
5,909	2:4:64	G2	43	76	ON	0,362	51	0	N/A
6,364	2:4:128	G1	31	76	ON	0,362	51	0	N/A
6,364	2:4:128	D2	38	76	ON	0,362	51	0	N/A
6,364	2:4:128	G2	43	76	ON	0,362	51	0	N/A
6,818	3:1:0	C#2	37	76	ON	0,455	64	0	N/A
6,818	3:1:0	G#2	44	76	ON	0,455	64	0	N/A
6,818	3:1:0	C#3	49	76	ON	5,455	768	0	N/A
6,818	3:1:0	E3	52	76	ON	2,727	384	0	N/A
6,818	3:1:0	C#4	61	76	ON	5,455	768	0	N/A
7,273	3:1:64	C#2	37	76	ON	0,455	64	0	N/A
7,273	3:1:64	G#2	44	76	ON	0,455	64	0	N/A
7,727	3:1:128	C#2	37	76	ON	0,455	64	0	N/A
7,727	3:1:128	G#2	44	76	ON	0,455	64	0	N/A
8,182	3:2:0	C#2	37	76	ON	0,639	90	0	N/A
8,182	3:2:0	G#2	44	76	ON	0,639	90	0	N/A
8,864	3:2:96	C#2	37	76	ON	0,639	90	0	N/A
8,864	3:2:96	G#2	44	76	ON	0,639	90	0	N/A
9,545	3:3:0	C#2	37	76	ON	1,278	180	0	N/A
9,545	3:3:0	G#2	44	76	ON	1,278	180	0	N/A
10,909	3:4:0	C#2	37	76	ON	1,278	180	0	N/A
10,909	3:4:0	G#2	44	76	ON	1,278	180	0	N/A
