Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C4	60	64	OFF	0,427	153	0	N/A
0,000	1:1:0	C5	72	80	OFF	0,142	51	0	N/A
0,179	1:1:64	D5	74	80	OFF	0,142	51	0	N/A
0,357	1:1:128	E5	76	80	OFF	0,142	51	0	N/A
0,536	1:2:0	E4	64	64	OFF	0,427	153	0	N/A
0,536	1:2:0	C5	72	80	OFF	0,142	51	0	N/A
0,714	1:2:64	G4	67	80	OFF	0,142	51	0	N/A
0,893	1:2:128	C5	72	80	OFF	0,142	51	0	N/A
1,071	1:3:0	G3	55	64	OFF	0,427	153	0	N/A
1,071	1:3:0	D5	74	80	OFF	0,142	51	0	N/A
1,250	1:3:64	E5	76	80	OFF	0,142	51	0	N/A
1,429	1:3:128	F5	77	80	OFF	0,142	51	0	N/A
1,607	1:4:0	B3	59	64	OFF	0,427	153	0	N/A
1,607	1:4:0	D5	74	80	OFF	0,427	153	0	N/A
2,143	2:1:0	C4	60	64	OFF	0,427	153	0	N/A
2,143	2:1:0	E5	76	80	OFF	0,142	51	0	N/A
2,321	2:1:64	D5	74	80	OFF	0,142	51	0	N/A
2,500	2:1:128	C5	72	80	OFF	0,142	51	0	N/A
2,679	2:2:0	E4	64	64	OFF	0,427	153	0	N/A
2,679	2:2:0	G5	79	80	OFF	0,142	51	0	N/A
2,857	2:2:64	F5	77	80	OFF	0,142	51	0	N/A
3,036	2:2:128	E5	76	80	OFF	0,142	51	0	N/A
3,214	2:3:0	F4	65	64	OFF	0,427	153	0	N/A
3,214	2:3:0	A5	81	80	OFF	0,142	51	0	N/A
3,393	2:3:64	G5	79	80	OFF	0,142	51	0	N/A
3,571	2:3:128	F5	77	80	OFF	0,142	51	0	N/A
3,750	2:4:0	G4	67	64	OFF	0,427	153	0	N/A
3,750	2:4:0	E5	76	80	OFF	0,285	102	0	N/A
4,107	2:4:128	D5	74	80	OFF	0,142	51	0	N/A
4,286	3:1:0	C4	60	64	OFF	0,427	153	0	N/A
4,286	3:1:0	C5	72	80	OFF	0,142	51	0	N/A
4,464	3:1:64	D5	74	80	OFF	0,142	51	0	N/A
4,643	3:1:128	E5	76	80	OFF	0,142	51	0	N/A
4,821	3:2:0	E4	64	64	OFF	0,427	153	0	N/A
4,821	3:2:0	C5	72	80	OFF	0,142	51	0	N/A
5,000	3:2:64	G4	67	80	OFF	0,142	51	0	N/A
5,179	3:2:128	C5	72	80	OFF	0,142	51	0	N/A
5,357	3:3:0	G3	55	64	OFF	0,427	153	0	N/A
5,357	3:3:0	D5	74	80	OFF	0,142	51	0	N/A
5,536	3:3:64	E5	76	80	OFF	0,142	51	0	N/A
5,714	3:3:128	F5	77	80	OFF	0,142	51	0	N/A
5,893	3:4:0	B3	59	64	OFF	0,427	153	0	N/A
5,893	3:4:0	D5	74	80	OFF	0,427	153	0	N/A
6,429	4:1:0	C4	60	64	OFF	0,427	153	0	N/A
6,429	4:1:0	E5	76	80	OFF	0,142	51	0	N/A
6,607	4:1:64	D5	74	80	OFF	0,142	51	0	N/A
6,786	4:1:128	C5	72	80	OFF	0,142	51	0	N/A
6,964	4:2:0	E4	64	64	OFF	0,427	153	0	N/A
6,964	4:2:0	G5	79	80	OFF	0,142	51	0	N/A
7,143	4:2:64	F5	77	80	OFF	0,142	51	0	N/A
7,321	4:2:128	E5	76	80	OFF	0,142	51	0	N/A
7,500	4:3:0	F4	65	64	OFF	0,427	153	0	N/A
7,500	4:3:0	D5	74	80	OFF	0,142	51	0	N/A
7,679	4:3:64	C5	72	80	OFF	0,142	51	0	N/A
7,857	4:3:128	D5	74	80	OFF	0,142	51	0	N/A
8,036	4:4:0	E4	64	64	OFF	0,427	153	0	N/A
8,036	4:4:0	C5	72	80	OFF	0,427	153	0	N/A
8,571	5:1:0	D4	62	64	OFF	0,427	153	0	N/A
8,571	5:1:0	F5	77	80	OFF	0,142	51	0	N/A
8,750	5:1:64	G5	79	80	OFF	0,142	51	0	N/A
8,929	5:1:128	A5	81	80	OFF	0,142	51	0	N/A
9,107	5:2:0	E4	64	64	OFF	0,427	153	0	N/A
9,107	5:2:0	G5	79	80	OFF	0,142	51	0	N/A
9,286	5:2:64	F5	77	80	OFF	0,142	51	0	N/A
9,464	5:2:128	E5	76	80	OFF	0,142	51	0	N/A
9,643	5:3:0	F4	65	64	OFF	0,427	153	0	N/A
9,643	5:3:0	D5	74	80	OFF	0,142	51	0	N/A
9,821	5:3:64	C5	72	80	OFF	0,142	51	0	N/A
10,000	5:3:128	D5	74	80	OFF	0,142	51	0	N/A
10,179	5:4:0	C4	60	64	OFF	0,427	153	0	N/A
10,179	5:4:0	E5	76	80	OFF	0,142	51	0	N/A
10,357	5:4:64	C5	72	80	OFF	0,142	51	0	N/A
10,536	5:4:128	G4	67	80	OFF	0,142	51	0	N/A
10,714	6:1:0	D4	62	64	OFF	0,427	153	0	N/A
10,714	6:1:0	F5	77	80	OFF	0,142	51	0	N/A
10,893	6:1:64	G5	79	80	OFF	0,142	51	0	N/A
11,071	6:1:128	A5	81	80	OFF	0,142	51	0	N/A
11,250	6:2:0	E4	64	64	OFF	0,427	153	0	N/A
