Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C#2	37	64	ON	0,330	76	0	N/A
0,000	1:1:0	C#5	73	80	ON	0,330	76	0	N/A
0,417	1:1:96	C#3	49	64	ON	0,330	76	0	N/A
0,417	1:1:96	G#4	68	80	ON	0,330	76	0	N/A
0,833	1:2:0	F3	53	64	ON	0,330	76	0	N/A
0,833	1:2:0	G#5	80	80	ON	1,332	307	0	N/A
1,250	1:2:96	G#3	56	64	ON	0,330	76	0	N/A
1,667	1:3:0	F4	65	64	ON	0,330	76	0	N/A
2,083	1:3:96	F3	53	64	ON	0,330	76	0	N/A
2,500	2:1:0	F#2	42	64	ON	0,330	76	0	N/A
2,500	2:1:0	F#5	78	80	ON	0,330	76	0	N/A
2,917	2:1:96	C#3	49	64	ON	0,330	76	0	N/A
2,917	2:1:96	F5	77	80	ON	0,330	76	0	N/A
3,333	2:2:0	F#3	54	64	ON	0,330	76	0	N/A
3,333	2:2:0	D#5	75	80	ON	0,330	76	0	N/A
3,750	2:2:96	A#3	58	64	ON	0,330	76	0	N/A
3,750	2:2:96	C#5	73	80	ON	0,330	76	0	N/A
4,167	2:3:0	G#3	56	64	ON	0,330	76	0	N/A
4,167	2:3:0	C5	72	80	ON	0,330	76	0	N/A
4,583	2:3:96	F#3	54	64	ON	0,330	76	0	N/A
4,583	2:3:96	C#5	73	80	ON	0,330	76	0	N/A
5,000	3:1:0	C#2	37	64	ON	0,330	76	0	N/A
5,000	3:1:0	D#5	75	80	ON	0,330	76	0	N/A
5,417	3:1:96	G#2	44	64	ON	0,330	76	0	N/A
5,417	3:1:96	F5	77	80	ON	0,330	76	0	N/A
5,833	3:2:0	C#3	49	64	ON	0,330	76	0	N/A
5,833	3:2:0	G#4	68	80	ON	2,331	537	0	N/A
6,250	3:2:96	F3	53	64	ON	0,330	76	0	N/A
6,667	3:3:0	G#3	56	64	ON	0,330	76	0	N/A
7,083	3:3:96	C#4	61	64	ON	0,330	76	0	N/A
7,500	4:1:0	D#4	63	64	ON	0,330	76	0	N/A
7,917	4:1:96	F4	65	64	ON	0,330	76	0	N/A
8,333	4:2:0	G#3	56	64	ON	0,330	76	0	N/A
8,750	4:2:96	C#3	49	64	ON	0,330	76	0	N/A
8,750	4:2:96	G#4	68	80	ON	0,391	90	0	N/A
9,167	4:3:0	G#2	44	64	ON	0,330	76	0	N/A
9,167	4:3:0	C#5	73	80	ON	0,664	153	0	N/A
9,583	4:3:96	C#2	37	64	ON	0,330	76	0	N/A
10,000	5:1:0	F#2	42	64	ON	0,330	76	0	N/A
10,000	5:1:0	A#4	70	80	ON	1,332	307	0	N/A
10,417	5:1:96	C#3	49	64	ON	0,330	76	0	N/A
10,833	5:2:0	F#3	54	64	ON	0,330	76	0	N/A
11,250	5:2:96	G#3	56	64	ON	0,330	76	0	N/A
11,667	5:3:0	A#3	58	64	ON	0,330	76	0	N/A
12,083	5:3:96	C#4	61	64	ON	0,330	76	0	N/A
