Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	B2	47	64	ON	3,997	614	0	N/A
0,000	1:1:0	F#3	54	64	ON	3,997	614	0	N/A
0,000	1:1:0	B3	59	64	ON	3,997	614	0	N/A
1,250	1:2:0	E4	64	64	ON	0,495	76	0	N/A
1,250	1:2:0	C#5	73	64	ON	0,495	76	0	N/A
1,875	1:2:96	D4	62	64	ON	0,495	76	0	N/A
1,875	1:2:96	B4	71	64	ON	0,495	76	0	N/A
2,500	1:3:0	C#4	61	64	ON	0,495	76	0	N/A
2,500	1:3:0	F#4	66	64	ON	0,495	76	0	N/A
3,125	1:3:96	B3	59	64	ON	0,495	76	0	N/A
3,125	1:3:96	D4	62	64	ON	0,495	76	0	N/A
3,750	1:4:0	B3	59	64	ON	0,495	76	0	N/A
3,750	1:4:0	A4	69	64	ON	0,495	76	0	N/A
4,375	1:4:96	C#4	61	64	ON	0,495	76	0	N/A
4,375	1:4:96	G4	67	64	ON	0,495	76	0	N/A
5,000	2:1:0	G2	43	64	ON	2,344	360	0	N/A
5,000	2:1:0	D3	50	64	ON	2,344	360	0	N/A
5,000	2:1:0	B3	59	64	ON	2,344	360	0	N/A
5,000	2:1:0	D4	62	64	ON	1,999	307	0	N/A
5,000	2:1:0	F#4	66	64	ON	1,999	307	0	N/A
7,500	2:3:0	B3	59	64	ON	1,999	307	0	N/A
7,500	2:3:0	E4	64	64	ON	1,999	307	0	N/A
8,750	2:4:0	G2	43	64	ON	0,996	153	0	N/A
10,000	3:1:0	E2	40	64	ON	2,344	360	0	N/A
10,000	3:1:0	B2	47	64	ON	2,344	360	0	N/A
10,000	3:1:0	G3	55	64	ON	2,344	360	0	N/A
11,250	3:2:0	E4	64	64	ON	0,495	76	0	N/A
11,250	3:2:0	G4	67	64	ON	0,495	76	0	N/A
11,875	3:2:96	D4	62	64	ON	0,495	76	0	N/A
11,875	3:2:96	F#4	66	64	ON	0,495	76	0	N/A
12,500	3:3:0	F#2	42	64	ON	1,172	180	0	N/A
12,500	3:3:0	C#3	49	64	ON	1,172	180	0	N/A
12,500	3:3:0	F#3	54	64	ON	1,172	180	0	N/A
12,500	3:3:0	C#4	61	64	ON	0,495	76	0	N/A
12,500	3:3:0	E4	64	64	ON	0,495	76	0	N/A
13,125	3:3:96	B3	59	64	ON	0,495	76	0	N/A
13,125	3:3:96	D4	62	64	ON	0,495	76	0	N/A
