Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	B1	35	64	ON	0,317	76	0	N/A
0,000	1:1:0	D#5	75	80	ON	0,637	153	0	N/A
0,400	1:1:96	F#2	42	64	ON	0,317	76	0	N/A
0,800	1:2:0	B2	47	64	ON	0,317	76	0	N/A
0,800	1:2:0	D#5	75	80	ON	0,637	153	0	N/A
1,200	1:2:96	C#3	49	64	ON	0,317	76	0	N/A
1,600	1:3:0	D#3	51	64	ON	0,317	76	0	N/A
1,600	1:3:0	D#5	75	80	ON	0,637	153	0	N/A
2,000	1:3:96	F#3	54	64	ON	0,317	76	0	N/A
2,400	1:4:0	B3	59	64	ON	0,317	76	0	N/A
2,400	1:4:0	D#5	75	80	ON	0,638	153	0	N/A
2,800	1:4:96	F#3	54	64	ON	0,317	76	0	N/A
3,200	1:5:0	C#4	61	64	ON	0,317	76	0	N/A
3,200	1:5:0	C#5	73	80	ON	0,637	153	0	N/A
3,600	1:5:96	F#3	54	64	ON	0,317	76	0	N/A
4,000	1:6:0	D#4	63	64	ON	0,317	76	0	N/A
4,000	1:6:0	B4	71	80	ON	0,638	153	0	N/A
4,400	1:6:96	F#3	54	64	ON	0,317	76	0	N/A
4,800	2:1:0	B1	35	64	ON	0,317	76	0	N/A
4,800	2:1:0	D#5	75	80	ON	0,638	153	0	N/A
5,200	2:1:96	F#2	42	64	ON	0,317	76	0	N/A
5,600	2:2:0	B2	47	64	ON	0,317	76	0	N/A
5,600	2:2:0	E5	76	80	ON	0,638	153	0	N/A
6,000	2:2:96	C#3	49	64	ON	0,317	76	0	N/A
6,400	2:3:0	D#3	51	64	ON	0,317	76	0	N/A
6,400	2:3:0	F#5	78	80	ON	0,637	153	0	N/A
6,800	2:3:96	F#3	54	64	ON	0,317	76	0	N/A
7,200	2:4:0	B3	59	64	ON	0,317	76	0	N/A
7,200	2:4:0	D#5	75	80	ON	1,917	460	0	N/A
7,600	2:4:96	F#3	54	64	ON	0,317	76	0	N/A
8,000	2:5:0	C#4	61	64	ON	0,317	76	0	N/A
8,400	2:5:96	F#3	54	64	ON	0,317	76	0	N/A
8,800	2:6:0	D#4	63	64	ON	0,317	76	0	N/A
9,200	2:6:96	F#3	54	64	ON	0,317	76	0	N/A
9,600	3:1:0	C#2	37	64	ON	0,317	76	0	N/A
9,600	3:1:0	E5	76	80	ON	0,638	153	0	N/A
10,000	3:1:96	G#2	44	64	ON	0,317	76	0	N/A
10,400	3:2:0	C#3	49	64	ON	0,317	76	0	N/A
10,400	3:2:0	E5	76	80	ON	0,637	153	0	N/A
10,800	3:2:96	D#3	51	64	ON	0,317	76	0	N/A
11,200	3:3:0	E3	52	64	ON	0,317	76	0	N/A
11,200	3:3:0	E5	76	80	ON	0,638	153	0	N/A
11,600	3:3:96	G#3	56	64	ON	0,317	76	0	N/A
12,000	3:4:0	C#4	61	64	ON	0,317	76	0	N/A
12,000	3:4:0	E5	76	80	ON	0,637	153	0	N/A
12,400	3:4:96	G#3	56	64	ON	0,317	76	0	N/A
