Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	D2	38	64	ON	0,379	51	0	N/A
0,476	1:1:64	D3	50	64	ON	0,379	51	0	N/A
0,952	1:1:128	F3	53	64	ON	0,379	51	0	N/A
1,429	1:2:0	A3	57	64	ON	0,379	51	0	N/A
1,905	1:2:64	F3	53	64	ON	0,379	51	0	N/A
1,905	1:2:64	F4	65	80	ON	0,379	51	0	N/A
1,905	1:2:64	A4	69	80	ON	0,379	51	0	N/A
2,381	1:2:128	D4	62	64	ON	0,379	51	0	N/A
2,381	1:2:128	E4	64	80	ON	0,379	51	0	N/A
2,381	1:2:128	G4	67	80	ON	0,379	51	0	N/A
2,857	1:3:0	D4	62	80	ON	0,379	51	0	N/A
2,857	1:3:0	F4	65	64	ON	0,379	51	0	N/A
2,857	1:3:0	A4	69	80	ON	0,379	51	0	N/A
3,333	1:3:64	A3	57	64	ON	0,379	51	0	N/A
3,333	1:3:64	F4	65	80	ON	0,379	51	0	N/A
3,333	1:3:64	D5	74	80	ON	0,379	51	0	N/A
3,810	1:3:128	D3	50	64	ON	0,379	51	0	N/A
3,810	1:3:128	A4	69	80	ON	0,379	51	0	N/A
3,810	1:3:128	F5	77	80	ON	0,379	51	0	N/A
4,286	2:1:0	D2	38	64	ON	0,379	51	0	N/A
4,286	2:1:0	A4	69	80	ON	1,138	153	0	N/A
4,286	2:1:0	F5	77	80	ON	1,138	153	0	N/A
4,762	2:1:64	D3	50	64	ON	0,379	51	0	N/A
5,238	2:1:128	G3	55	64	ON	0,379	51	0	N/A
5,714	2:2:0	A#3	58	64	ON	0,379	51	0	N/A
5,714	2:2:0	F4	65	80	ON	1,138	153	0	N/A
5,714	2:2:0	D5	74	80	ON	1,138	153	0	N/A
6,190	2:2:64	F3	53	64	ON	0,379	51	0	N/A
6,667	2:2:128	D4	62	64	ON	0,379	51	0	N/A
7,143	2:3:0	F4	65	64	ON	0,379	51	0	N/A
7,143	2:3:0	G4	67	80	ON	1,138	153	0	N/A
7,143	2:3:0	E5	76	80	ON	1,138	153	0	N/A
7,619	2:3:64	A#3	58	64	ON	0,379	51	0	N/A
8,095	2:3:128	D3	50	64	ON	0,379	51	0	N/A
8,571	3:1:0	A2	45	64	ON	0,379	51	0	N/A
8,571	3:1:0	F4	65	80	ON	1,138	153	0	N/A
8,571	3:1:0	D5	74	80	ON	1,138	153	0	N/A
9,048	3:1:64	E3	52	64	ON	0,379	51	0	N/A
9,524	3:1:128	G3	55	64	ON	0,379	51	0	N/A
10,000	3:2:0	A3	57	64	ON	0,379	51	0	N/A
10,000	3:2:0	E4	64	80	ON	1,138	153	0	N/A
10,000	3:2:0	C#5	73	80	ON	1,138	153	0	N/A
10,476	3:2:64	G3	55	64	ON	0,379	51	0	N/A
10,952	3:2:128	E4	64	64	ON	0,379	51	0	N/A
11,429	3:3:0	D4	62	64	ON	0,379	51	0	N/A
11,429	3:3:0	G4	67	80	ON	1,138	153	0	N/A
11,429	3:3:0	E5	76	80	ON	1,138	153	0	N/A
11,905	3:3:64	C#4	61	64	ON	0,379	51	0	N/A
12,381	3:3:128	G3	55	64	ON	0,379	51	0	N/A
12,857	4:1:0	D2	38	64	ON	1,138	153	0	N/A
12,857	4:1:0	F4	65	80	ON	1,138	153	0	N/A
12,857	4:1:0	A4	69	80	ON	1,138	153	0	N/A
