Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	D2	38	64	ON	0,270	76	0	N/A
0,341	1:1:96	A2	45	64	ON	0,270	76	0	N/A
0,682	1:2:0	F#3	54	64	ON	0,270	76	0	N/A
1,023	1:2:96	D3	50	64	ON	0,270	76	0	N/A
1,023	1:2:96	A4	69	80	ON	0,320	90	0	N/A
1,364	1:3:0	A3	57	64	ON	0,270	76	0	N/A
1,364	1:3:0	D5	74	80	ON	0,320	90	0	N/A
1,705	1:3:96	F#4	66	64	ON	0,270	76	0	N/A
1,705	1:3:96	F#5	78	64	ON	0,320	90	0	N/A
1,705	1:3:96	A5	81	80	ON	0,320	90	0	N/A
2,045	2:1:0	G2	43	64	ON	0,270	76	0	N/A
2,045	2:1:0	D5	74	64	ON	0,817	230	0	N/A
2,045	2:1:0	A5	81	80	ON	0,817	230	0	N/A
2,386	2:1:96	D3	50	64	ON	0,270	76	0	N/A
2,727	2:2:0	B3	59	64	ON	0,270	76	0	N/A
3,068	2:2:96	G3	55	64	ON	0,270	76	0	N/A
3,068	2:2:96	G5	79	64	ON	0,270	76	0	N/A
3,068	2:2:96	B5	83	80	ON	0,270	76	0	N/A
3,409	2:3:0	D4	62	64	ON	0,270	76	0	N/A
3,409	2:3:0	F#5	78	64	ON	0,270	76	0	N/A
3,409	2:3:0	A5	81	80	ON	0,270	76	0	N/A
3,750	2:3:96	G4	67	64	ON	0,270	76	0	N/A
3,750	2:3:96	E5	76	64	ON	0,270	76	0	N/A
3,750	2:3:96	G5	79	80	ON	0,270	76	0	N/A
4,091	3:1:0	D2	38	64	ON	0,270	76	0	N/A
4,091	3:1:0	D5	74	64	ON	0,543	153	0	N/A
4,091	3:1:0	G5	79	76	ON	0,270	76	0	N/A
4,432	3:1:96	A2	45	64	ON	0,270	76	0	N/A
4,432	3:1:96	E5	76	76	ON	0,270	76	0	N/A
4,773	3:2:0	D3	50	64	ON	0,270	76	0	N/A
4,773	3:2:0	A4	69	64	ON	1,278	360	0	N/A
4,773	3:2:0	F#5	78	76	ON	0,639	180	0	N/A
5,114	3:2:96	F#3	54	64	ON	0,270	76	0	N/A
5,455	3:3:0	A3	57	64	ON	0,270	76	0	N/A
5,795	3:3:96	D4	62	64	ON	0,270	76	0	N/A
5,795	3:3:96	D5	74	80	ON	0,270	76	0	N/A
6,136	4:1:0	E2	40	64	ON	0,270	76	0	N/A
6,136	4:1:0	B4	71	64	ON	1,090	307	0	N/A
6,136	4:1:0	E5	76	64	ON	1,090	307	0	N/A
6,136	4:1:0	G5	79	80	ON	1,090	307	0	N/A
6,477	4:1:96	B2	47	64	ON	0,270	76	0	N/A
6,818	4:2:0	E3	52	64	ON	0,270	76	0	N/A
7,159	4:2:96	G3	55	64	ON	0,270	76	0	N/A
7,500	4:3:0	B3	59	64	ON	0,270	76	0	N/A
7,500	4:3:0	A4	69	64	ON	0,270	76	0	N/A
7,500	4:3:0	F#5	78	80	ON	0,270	76	0	N/A
7,841	4:3:96	D4	62	64	ON	0,270	76	0	N/A
7,841	4:3:96	G4	67	64	ON	0,270	76	0	N/A
7,841	4:3:96	E5	76	80	ON	0,270	76	0	N/A
8,182	5:1:0	F#2	42	64	ON	0,270	76	0	N/A
8,182	5:1:0	F#4	66	64	ON	1,090	307	0	N/A
8,182	5:1:0	A4	69	64	ON	1,090	307	0	N/A
8,182	5:1:0	F#5	78	80	ON	1,090	307	0	N/A
8,523	5:1:96	C#3	49	64	ON	0,270	76	0	N/A
8,864	5:2:0	F#3	54	64	ON	0,270	76	0	N/A
9,205	5:2:96	A3	57	64	ON	0,270	76	0	N/A
9,545	5:3:0	C#4	61	64	ON	0,270	76	0	N/A
9,545	5:3:0	G4	67	64	ON	0,270	76	0	N/A
9,545	5:3:0	F#5	78	76	ON	0,270	76	0	N/A
9,886	5:3:96	E4	64	64	ON	0,270	76	0	N/A
9,886	5:3:96	A4	69	64	ON	0,270	76	0	N/A
9,886	5:3:96	E5	76	76	ON	0,270	76	0	N/A
10,227	6:1:0	G2	43	64	ON	0,270	76	0	N/A
10,227	6:1:0	C#5	73	64	ON	0,270	76	0	N/A
10,227	6:1:0	E5	76	80	ON	0,270	76	0	N/A
10,568	6:2:0	D3	50	64	ON	0,270	76	0	N/A
10,568	6:2:0	B4	71	64	ON	0,682	192	0	N/A
10,568	6:2:0	D5	74	80	ON	0,682	192	0	N/A
10,909	6:3:0	B3	59	64	ON	0,270	76	0	N/A
