Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	E3	52	64	OFF	0,166	76	0	N/A
0,000	1:1:0	A5	81	80	OFF	0,166	76	0	N/A
0,210	1:1:96	B3	59	64	OFF	0,166	76	0	N/A
0,210	1:1:96	G#5	80	80	OFF	0,334	153	0	N/A
0,420	1:2:0	G#3	56	64	OFF	0,166	76	0	N/A
0,629	1:2:96	B3	59	64	OFF	0,166	76	0	N/A
0,629	1:2:96	E5	76	80	OFF	0,166	76	0	N/A
0,839	1:3:0	A3	57	64	OFF	0,166	76	0	N/A
0,839	1:3:0	G#5	80	80	OFF	0,166	76	0	N/A
1,049	1:3:96	B3	59	64	OFF	0,166	76	0	N/A
1,049	1:3:96	F#5	78	80	OFF	0,083	38	0	N/A
1,154	1:3:144	E5	76	80	OFF	0,083	38	0	N/A
1,259	1:4:0	B2	47	64	OFF	0,166	76	0	N/A
1,259	1:4:0	F#5	78	80	OFF	0,166	76	0	N/A
1,469	1:4:96	B3	59	64	OFF	0,166	76	0	N/A
1,469	1:4:96	B4	71	80	OFF	0,166	76	0	N/A
1,678	2:1:0	E3	52	64	OFF	0,166	76	0	N/A
1,678	2:1:0	F#5	78	80	OFF	0,166	76	0	N/A
1,888	2:1:96	B3	59	64	OFF	0,166	76	0	N/A
1,888	2:1:96	E5	76	80	OFF	0,334	153	0	N/A
2,098	2:2:0	G#3	56	64	OFF	0,166	76	0	N/A
2,308	2:2:96	B3	59	64	OFF	0,166	76	0	N/A
2,308	2:2:96	B4	71	80	OFF	0,166	76	0	N/A
2,517	2:3:0	A3	57	64	OFF	0,166	76	0	N/A
2,517	2:3:0	D#5	75	80	OFF	0,166	76	0	N/A
2,727	2:3:96	B3	59	64	OFF	0,166	76	0	N/A
2,727	2:3:96	C#5	73	80	OFF	0,083	38	0	N/A
2,832	2:3:144	B4	71	80	OFF	0,083	38	0	N/A
2,937	2:4:0	B2	47	64	OFF	0,166	76	0	N/A
2,937	2:4:0	C#5	73	80	OFF	0,166	76	0	N/A
3,147	2:4:96	B3	59	64	OFF	0,166	76	0	N/A
3,147	2:4:96	F#4	66	80	OFF	0,166	76	0	N/A
