Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	A2	45	64	ON	0,330	76	0	N/A
0,417	1:1:96	E3	52	64	ON	0,330	76	0	N/A
0,833	1:2:0	A3	57	64	ON	0,330	76	0	N/A
1,250	1:2:96	C#4	61	64	ON	0,330	76	0	N/A
1,667	1:3:0	E4	64	64	ON	0,330	76	0	N/A
1,667	1:3:0	A4	69	76	ON	2,665	614	0	N/A
1,667	1:3:0	C#5	73	76	ON	2,665	614	0	N/A
1,667	1:3:0	A5	81	76	ON	0,664	153	0	N/A
2,083	1:3:96	C#4	61	64	ON	0,330	76	0	N/A
2,500	1:4:0	A3	57	64	ON	0,330	76	0	N/A
2,500	1:4:0	G#5	80	76	ON	0,330	76	0	N/A
2,917	1:4:96	E3	52	64	ON	0,330	76	0	N/A
2,917	1:4:96	F#5	78	76	ON	0,330	76	0	N/A
3,333	2:1:0	D2	38	64	ON	0,330	76	0	N/A
3,333	2:1:0	F#5	78	76	ON	2,665	614	0	N/A
3,750	2:1:96	D3	50	64	ON	0,330	76	0	N/A
4,167	2:2:0	F#3	54	64	ON	0,330	76	0	N/A
4,583	2:2:96	A3	57	64	ON	0,330	76	0	N/A
4,583	2:2:96	A4	69	76	ON	1,749	403	0	N/A
4,583	2:2:96	D5	74	76	ON	1,749	403	0	N/A
5,000	2:3:0	D4	62	64	ON	0,330	76	0	N/A
5,417	2:3:96	A3	57	64	ON	0,330	76	0	N/A
5,833	2:4:0	F#3	54	64	ON	0,330	76	0	N/A
6,250	2:4:96	D3	50	64	ON	0,330	76	0	N/A
6,667	3:1:0	E2	40	64	ON	0,330	76	0	N/A
7,083	3:1:96	E3	52	64	ON	0,330	76	0	N/A
7,500	3:2:0	G#3	56	64	ON	0,330	76	0	N/A
7,917	3:2:96	F#4	66	64	ON	0,330	76	0	N/A
8,333	3:3:0	E4	64	64	ON	0,330	76	0	N/A
8,333	3:3:0	B4	71	76	ON	2,665	614	0	N/A
8,333	3:3:0	D5	74	76	ON	2,665	614	0	N/A
8,333	3:3:0	A5	81	76	ON	0,664	153	0	N/A
8,750	3:3:96	D4	62	64	ON	0,330	76	0	N/A
9,167	3:4:0	B3	59	64	ON	0,330	76	0	N/A
9,167	3:4:0	G#5	80	76	ON	0,330	76	0	N/A
9,583	3:4:96	E3	52	64	ON	0,330	76	0	N/A
9,583	3:4:96	F#5	78	76	ON	0,330	76	0	N/A
10,000	4:1:0	A2	45	64	ON	0,330	76	0	N/A
10,000	4:1:0	E5	76	76	ON	2,665	614	0	N/A
10,417	4:1:96	E3	52	64	ON	0,330	76	0	N/A
10,833	4:2:0	A3	57	64	ON	0,330	76	0	N/A
11,250	4:2:96	B3	59	64	ON	0,330	76	0	N/A
11,250	4:2:96	A4	69	76	ON	1,749	403	0	N/A
11,250	4:2:96	C#5	73	76	ON	1,749	403	0	N/A
11,667	4:3:0	C#4	61	64	ON	0,330	76	0	N/A
12,083	4:3:96	A3	57	64	ON	0,330	76	0	N/A
12,500	4:4:0	E3	52	64	ON	0,330	76	0	N/A
12,917	4:4:96	A2	45	64	ON	0,330	76	0	N/A
