Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	B3	59	64	ON	0,297	76	0	N/A
0,000	1:1:0	F#5	78	84	ON	0,703	180	0	N/A
0,375	1:1:96	D#4	63	64	ON	0,297	76	0	N/A
0,750	1:2:0	F#4	66	64	ON	0,297	76	0	N/A
0,750	1:2:0	D#5	75	84	ON	0,703	180	0	N/A
1,125	1:2:96	D#4	63	64	ON	0,297	76	0	N/A
1,500	1:3:0	B3	59	64	ON	0,297	76	0	N/A
1,500	1:3:0	D#5	75	64	ON	0,703	180	0	N/A
1,500	1:3:0	B5	83	84	ON	0,703	180	0	N/A
1,875	1:3:96	D#3	51	64	ON	0,297	76	0	N/A
2,250	1:4:0	F#3	54	64	ON	0,297	76	0	N/A
2,250	1:4:0	E5	76	64	ON	0,703	180	0	N/A
2,250	1:4:0	C#6	85	84	ON	0,703	180	0	N/A
2,625	1:4:96	A#3	58	64	ON	0,297	76	0	N/A
3,000	1:5:0	C#4	61	64	ON	0,297	76	0	N/A
3,000	1:5:0	D#5	75	64	ON	0,598	153	0	N/A
3,000	1:5:0	B5	83	80	ON	0,598	153	0	N/A
3,375	1:5:96	A#3	58	64	ON	0,297	76	0	N/A
3,750	1:6:0	F#3	54	64	ON	0,297	76	0	N/A
4,125	1:6:96	C#3	49	64	ON	0,297	76	0	N/A
4,125	1:6:96	C#5	73	64	ON	0,352	90	0	N/A
4,125	1:6:96	A#5	82	84	ON	0,352	90	0	N/A
4,500	2:1:0	E3	52	64	ON	0,297	76	0	N/A
4,500	2:1:0	B4	71	64	ON	0,703	180	0	N/A
4,500	2:1:0	G#5	80	84	ON	0,703	180	0	N/A
4,875	2:1:96	G#3	56	64	ON	0,297	76	0	N/A
5,250	2:2:0	B3	59	64	ON	0,297	76	0	N/A
5,250	2:2:0	C#5	73	64	ON	0,703	180	0	N/A
5,250	2:2:0	A#5	82	84	ON	0,703	180	0	N/A
5,625	2:2:96	G#3	56	64	ON	0,297	76	0	N/A
6,000	2:3:0	E3	52	64	ON	0,297	76	0	N/A
6,000	2:3:0	D#5	75	64	ON	0,703	180	0	N/A
6,000	2:3:0	B5	83	84	ON	0,703	180	0	N/A
6,375	2:3:96	D#3	51	64	ON	0,297	76	0	N/A
6,750	2:4:0	B2	47	64	ON	0,297	76	0	N/A
6,750	2:4:0	E5	76	64	ON	0,703	180	0	N/A
6,750	2:4:0	G#5	80	84	ON	0,703	180	0	N/A
7,125	2:4:96	F#3	54	64	ON	0,297	76	0	N/A
7,500	2:5:0	B3	59	64	ON	0,297	76	0	N/A
7,500	2:5:0	D#5	75	64	ON	0,598	153	0	N/A
7,500	2:5:0	F#5	78	84	ON	0,598	153	0	N/A
7,875	2:5:96	F#3	54	64	ON	0,297	76	0	N/A
8,250	2:6:0	B2	47	64	ON	0,297	76	0	N/A
8,625	2:6:96	F#3	54	64	ON	0,297	76	0	N/A
8,625	2:6:96	D#5	75	80	ON	0,352	90	0	N/A
9,000	3:1:0	G#3	56	64	ON	0,297	76	0	N/A
9,000	3:1:0	B4	71	84	ON	0,598	153	0	N/A
9,375	3:1:96	G#2	44	64	ON	0,297	76	0	N/A
9,750	3:2:0	A#2	46	64	ON	0,297	76	0	N/A
9,750	3:2:0	A#4	70	64	ON	0,598	153	0	N/A
9,750	3:2:0	C#5	73	84	ON	0,598	153	0	N/A
10,125	3:2:96	A#3	58	64	ON	0,297	76	0	N/A
10,500	3:3:0	B3	59	64	ON	0,297	76	0	N/A
10,500	3:3:0	B4	71	64	ON	0,598	153	0	N/A
10,500	3:3:0	D#5	75	84	ON	0,598	153	0	N/A
10,875	3:3:96	F#3	54	64	ON	0,297	76	0	N/A
11,250	3:4:0	C#3	49	64	ON	0,297	76	0	N/A
11,250	3:4:0	G#4	68	64	ON	1,199	307	0	N/A
11,250	3:4:0	B4	71	84	ON	1,199	307	0	N/A
11,625	3:4:96	D#3	51	64	ON	0,297	76	0	N/A
12,000	3:5:0	E3	52	64	ON	0,297	76	0	N/A
12,375	3:5:96	F#3	54	64	ON	0,297	76	0	N/A
12,750	3:6:0	C#4	61	64	ON	0,297	76	0	N/A
12,750	3:6:0	F#4	66	64	ON	0,598	153	0	N/A
12,750	3:6:0	A#4	70	80	ON	0,598	153	0	N/A
13,125	3:6:96	F#3	54	64	ON	0,297	76	0	N/A
