Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	G#3	56	84	OFF	0,146	45	0	N/A
0,000	1:1:0	G#4	68	84	OFF	0,146	45	0	N/A
0,000	1:1:0	C5	72	60	OFF	0,078	24	0	N/A
0,000	1:1:0	C6	84	84	OFF	0,078	24	0	N/A
0,078	1:1:24	D5	74	60	OFF	0,078	24	0	N/A
0,156	1:1:48	C3	48	84	OFF	3,717	1142	0	N/A
0,156	1:1:48	C4	60	84	OFF	3,717	1142	0	N/A
0,156	1:1:48	D#5	75	60	OFF	0,078	24	0	N/A
0,234	1:1:72	F5	77	60	OFF	0,078	24	0	N/A
0,313	1:1:96	G5	79	60	OFF	0,078	24	0	N/A
0,313	1:1:96	G6	91	84	OFF	0,078	24	0	N/A
0,391	1:1:120	G#5	80	60	OFF	0,078	24	0	N/A
0,469	1:1:144	G5	79	60	OFF	0,078	24	0	N/A
0,547	1:1:168	G#5	80	60	OFF	0,078	24	0	N/A
0,625	1:2:0	G5	79	60	OFF	0,104	32	0	N/A
0,729	1:2:32	G#5	80	60	OFF	0,104	32	0	N/A
0,833	1:2:64	G5	79	60	OFF	0,104	32	0	N/A
0,938	1:2:96	G#5	80	60	OFF	0,104	32	0	N/A
1,042	1:2:128	G5	79	60	OFF	0,104	32	0	N/A
1,146	1:2:160	G#5	80	60	OFF	0,104	32	0	N/A
1,250	1:3:0	G5	79	60	OFF	0,146	45	0	N/A
1,406	1:3:48	G#5	80	60	OFF	0,146	45	0	N/A
1,563	1:3:96	G5	79	60	OFF	0,146	45	0	N/A
1,719	1:3:144	G#5	80	60	OFF	0,146	45	0	N/A
1,875	1:4:0	G5	79	84	OFF	0,498	153	0	N/A
1,875	1:4:0	G6	91	84	OFF	0,498	153	0	N/A
4,375	2:4:0	D3	50	84	OFF	0,146	45	0	N/A
4,375	2:4:0	D4	62	84	OFF	0,146	45	0	N/A
4,375	2:4:0	C5	72	60	OFF	0,078	24	0	N/A
4,375	2:4:0	C6	84	84	OFF	0,078	24	0	N/A
4,453	2:4:24	D5	74	60	OFF	0,078	24	0	N/A
4,531	2:4:48	F2	41	84	OFF	3,717	1142	0	N/A
4,531	2:4:48	F3	53	84	OFF	3,717	1142	0	N/A
4,531	2:4:48	D#5	75	60	OFF	0,078	24	0	N/A
4,609	2:4:72	F5	77	60	OFF	0,078	24	0	N/A
4,688	2:4:96	G5	79	60	OFF	0,078	24	0	N/A
4,688	2:4:96	G6	91	84	OFF	0,078	24	0	N/A
4,766	2:4:120	G#5	80	60	OFF	0,078	24	0	N/A
4,844	2:4:144	G5	79	60	OFF	0,078	24	0	N/A
4,922	2:4:168	G#5	80	60	OFF	0,078	24	0	N/A
5,000	3:1:0	G5	79	60	OFF	0,104	32	0	N/A
5,104	3:1:32	G#5	80	60	OFF	0,104	32	0	N/A
5,208	3:1:64	G5	79	60	OFF	0,104	32	0	N/A
5,313	3:1:96	G#5	80	60	OFF	0,104	32	0	N/A
5,417	3:1:128	G5	79	60	OFF	0,104	32	0	N/A
5,521	3:1:160	G#5	80	60	OFF	0,104	32	0	N/A
5,625	3:2:0	G5	79	60	OFF	0,146	45	0	N/A
5,781	3:2:48	G#5	80	60	OFF	0,146	45	0	N/A
5,938	3:2:96	G5	79	60	OFF	0,146	45	0	N/A
6,094	3:2:144	G#5	80	84	OFF	0,654	201	0	N/A
6,094	3:2:144	G#6	92	84	OFF	0,742	228	0	N/A
8,750	4:4:0	G#2	44	84	OFF	0,146	45	0	N/A
8,750	4:4:0	G#3	56	84	OFF	0,146	45	0	N/A
8,750	4:4:0	C5	72	60	OFF	0,078	24	0	N/A
8,750	4:4:0	C6	84	84	OFF	0,078	24	0	N/A
8,828	4:4:24	D5	74	60	OFF	0,078	24	0	N/A
8,906	4:4:48	C2	36	84	OFF	0,469	144	0	N/A
8,906	4:4:48	C3	48	84	OFF	0,469	144	0	N/A
8,906	4:4:48	D#5	75	60	OFF	0,078	24	0	N/A
8,984	4:4:72	F5	77	60	OFF	0,078	24	0	N/A
9,063	4:4:96	G5	79	60	OFF	0,078	24	0	N/A
9,063	4:4:96	G6	91	84	OFF	0,078	24	0	N/A
9,141	4:4:120	G#5	80	60	OFF	0,078	24	0	N/A
9,219	4:4:144	G5	79	60	OFF	0,078	24	0	N/A
9,297	4:4:168	G#5	80	60	OFF	0,078	24	0	N/A
9,375	5:1:0	D2	38	84	OFF	0,124	38	0	N/A
9,375	5:1:0	D3	50	84	OFF	0,124	38	0	N/A
9,375	5:1:0	G5	79	60	OFF	0,104	32	0	N/A
9,479	5:1:32	G#5	80	60	OFF	0,104	32	0	N/A
9,531	5:1:48	B2	47	84	OFF	3,092	950	0	N/A
9,531	5:1:48	B3	59	84	OFF	3,092	950	0	N/A
9,583	5:1:64	G5	79	60	OFF	0,104	32	0	N/A
9,688	5:1:96	G#5	80	60	OFF	0,104	32	0	N/A
9,792	5:1:128	G5	79	60	OFF	0,104	32	0	N/A
9,896	5:1:160	G#5	80	60	OFF	0,104	32	0	N/A
10,000	5:2:0	G5	79	60	OFF	0,146	45	0	N/A
10,156	5:2:48	G#5	80	60	OFF	0,146	45	0	N/A
10,313	5:2:96	G5	79	60	OFF	0,146	45	0	N/A
10,469	5:2:144	G#5	80	60	OFF	0,146	45	0	N/A
10,625	5:3:0	G5	79	84	OFF	0,498	153	0	N/A
10,625	5:3:0	G6	91	84	OFF	0,498	153	0	N/A
