Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C2	36	64	ON	0,297	76	0	N/A
0,375	1:1:96	G2	43	64	ON	0,297	76	0	N/A
0,375	1:1:96	C6	84	76	ON	0,297	76	0	N/A
0,750	1:2:0	C3	48	64	ON	0,297	76	0	N/A
0,750	1:2:0	C7	96	76	ON	0,297	76	0	N/A
1,125	1:2:96	D3	50	64	ON	0,297	76	0	N/A
1,125	1:2:96	C6	84	76	ON	0,297	76	0	N/A
1,500	1:3:0	E3	52	64	ON	0,297	76	0	N/A
1,500	1:3:0	B5	83	76	ON	0,297	76	0	N/A
1,875	1:3:96	G3	55	64	ON	0,297	76	0	N/A
1,875	1:3:96	B6	95	76	ON	0,297	76	0	N/A
2,250	1:4:0	C4	60	64	ON	0,297	76	0	N/A
2,250	1:4:0	A5	81	76	ON	0,297	76	0	N/A
2,625	1:4:96	D4	62	64	ON	0,297	76	0	N/A
2,625	1:4:96	A6	93	76	ON	0,297	76	0	N/A
3,000	2:1:0	E4	64	64	ON	0,297	76	0	N/A
3,000	2:1:0	G5	79	76	ON	0,297	76	0	N/A
3,375	2:1:96	D4	62	64	ON	0,297	76	0	N/A
3,375	2:1:96	G6	91	76	ON	0,297	76	0	N/A
3,750	2:2:0	C4	60	64	ON	0,297	76	0	N/A
3,750	2:2:0	F5	77	76	ON	0,297	76	0	N/A
4,125	2:2:96	G3	55	64	ON	0,297	76	0	N/A
4,125	2:2:96	F6	89	76	ON	0,297	76	0	N/A
4,500	2:3:0	E3	52	64	ON	0,297	76	0	N/A
4,500	2:3:0	E5	76	76	ON	0,297	76	0	N/A
4,875	2:3:96	D3	50	64	ON	0,297	76	0	N/A
4,875	2:3:96	E6	88	76	ON	0,297	76	0	N/A
5,250	2:4:0	C3	48	64	ON	0,297	76	0	N/A
5,250	2:4:0	D5	74	76	ON	0,297	76	0	N/A
5,625	2:4:96	G2	43	64	ON	0,297	76	0	N/A
5,625	2:4:96	D6	86	76	ON	0,297	76	0	N/A
6,000	3:1:0	D2	38	64	ON	0,297	76	0	N/A
6,000	3:1:0	E5	76	76	ON	0,297	76	0	N/A
6,375	3:1:96	A2	45	64	ON	0,297	76	0	N/A
6,375	3:1:96	E6	88	76	ON	0,297	76	0	N/A
6,750	3:2:0	D3	50	64	ON	0,297	76	0	N/A
6,750	3:2:0	F5	77	76	ON	0,297	76	0	N/A
7,125	3:2:96	F3	53	64	ON	0,297	76	0	N/A
7,125	3:2:96	F6	89	76	ON	0,297	76	0	N/A
7,500	3:3:0	A3	57	64	ON	0,297	76	0	N/A
7,500	3:3:0	D5	74	76	ON	0,297	76	0	N/A
7,875	3:3:96	D4	62	64	ON	0,297	76	0	N/A
7,875	3:3:96	D6	86	76	ON	0,297	76	0	N/A
8,250	3:4:0	A3	57	64	ON	0,297	76	0	N/A
8,250	3:4:0	C5	72	76	ON	0,297	76	0	N/A
8,625	3:4:96	F3	53	64	ON	0,297	76	0	N/A
8,625	3:4:96	C6	84	76	ON	0,297	76	0	N/A
9,000	4:1:0	G2	43	64	ON	0,297	76	0	N/A
9,000	4:1:0	C5	72	76	ON	0,297	76	0	N/A
9,375	4:1:96	D3	50	64	ON	0,297	76	0	N/A
9,375	4:1:96	C6	84	76	ON	0,297	76	0	N/A
9,750	4:2:0	G3	55	64	ON	0,297	76	0	N/A
9,750	4:2:0	D5	74	80	ON	0,703	180	0	N/A
10,125	4:2:96	A3	57	64	ON	0,297	76	0	N/A
10,500	4:3:0	C4	60	64	ON	0,297	76	0	N/A
10,500	4:3:0	E5	76	80	ON	0,703	180	0	N/A
10,875	4:3:96	D4	62	64	ON	0,297	76	0	N/A
11,250	4:4:0	B3	59	64	ON	0,297	76	0	N/A
11,250	4:4:0	F5	77	80	ON	0,703	180	0	N/A
11,625	4:4:96	G3	55	64	ON	0,297	76	0	N/A
12,000	5:1:0	A2	45	64	ON	0,598	153	0	N/A
