Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	F2	41	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
0,625	1:1:96	C3	48	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
0,625	1:1:96	G#5	80	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
1,250	1:2:0	G#3	56	64	ON	1,172	180	0	0 (Acoustic Grand Piano)
1,250	1:2:0	G5	79	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
1,875	1:2:96	F5	77	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
2,500	1:3:0	C4	60	64	ON	0,586	90	0	0 (Acoustic Grand Piano)
2,500	1:3:0	G5	79	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
3,125	1:3:96	F3	53	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
3,438	1:3:144	G#5	80	80	ON	0,293	45	0	0 (Acoustic Grand Piano)
3,750	2:1:0	A#2	46	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
3,750	2:1:0	G#5	80	80	ON	0,996	153	0	0 (Acoustic Grand Piano)
4,375	2:1:96	F3	53	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
5,000	2:2:0	C#4	61	64	ON	1,172	180	0	0 (Acoustic Grand Piano)
5,000	2:2:0	A#4	70	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
5,625	2:2:96	C5	72	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
6,250	2:3:0	A#3	58	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
6,250	2:3:0	C#5	73	80	ON	0,996	153	0	0 (Acoustic Grand Piano)
6,875	2:3:96	G#3	56	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
7,500	3:1:0	G3	55	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
8,125	3:1:96	C3	48	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
8,125	3:1:96	G5	79	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
8,750	3:2:0	C4	60	64	ON	1,172	180	0	0 (Acoustic Grand Piano)
8,750	3:2:0	F5	77	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
9,375	3:2:96	E5	76	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
10,000	3:3:0	A#3	58	64	ON	0,586	90	0	0 (Acoustic Grand Piano)
10,000	3:3:0	F5	77	80	ON	0,495	76	0	0 (Acoustic Grand Piano)
10,625	3:3:96	C3	48	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
10,938	3:3:144	G5	79	80	ON	0,293	45	0	0 (Acoustic Grand Piano)
11,250	4:1:0	F2	41	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
11,250	4:1:0	G5	79	80	ON	0,996	153	0	0 (Acoustic Grand Piano)
11,875	4:1:96	C3	48	64	ON	0,495	76	0	0 (Acoustic Grand Piano)
12,500	4:2:0	G#3	56	64	ON	1,172	180	0	0 (Acoustic Grand Piano)
12,500	4:2:0	C5	72	80	ON	0,996	153	0	0 (Acoustic Grand Piano)
