Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	A2	45	64	ON	0,237	25	0	N/A
0,000	1:1:0	C#5	73	76	ON	0,606	64	0	N/A
0,000	1:1:0	C#6	85	76	ON	0,606	64	0	N/A
0,303	1:1:32	E3	52	64	ON	0,237	25	0	N/A
0,606	1:1:64	A3	57	64	ON	0,237	25	0	N/A
0,606	1:1:64	D5	74	76	ON	0,606	64	0	N/A
0,606	1:1:64	D6	86	76	ON	0,606	64	0	N/A
0,909	1:1:96	B3	59	64	ON	0,237	25	0	N/A
1,212	1:1:128	C#4	61	64	ON	0,237	25	0	N/A
1,212	1:1:128	C#5	73	76	ON	0,606	64	0	N/A
1,212	1:1:128	C#6	85	76	ON	0,606	64	0	N/A
1,515	1:1:160	A3	57	64	ON	0,237	25	0	N/A
1,818	1:2:0	D3	50	64	ON	0,237	25	0	N/A
1,818	1:2:0	D5	74	76	ON	1,449	153	0	N/A
1,818	1:2:0	D6	86	76	ON	1,449	153	0	N/A
2,121	1:2:32	A3	57	64	ON	0,237	25	0	N/A
2,424	1:2:64	F#4	66	64	ON	0,237	25	0	N/A
2,727	1:2:96	E4	64	64	ON	0,237	25	0	N/A
3,030	1:2:128	D4	62	64	ON	0,237	25	0	N/A
3,333	1:2:160	A3	57	64	ON	0,237	25	0	N/A
3,636	1:3:0	A2	45	64	ON	0,237	25	0	N/A
3,636	1:3:0	C#5	73	76	ON	0,606	64	0	N/A
3,636	1:3:0	C#6	85	76	ON	0,606	64	0	N/A
3,939	1:3:32	E3	52	64	ON	0,237	25	0	N/A
4,242	1:3:64	A3	57	64	ON	0,237	25	0	N/A
4,242	1:3:64	D5	74	76	ON	0,606	64	0	N/A
4,242	1:3:64	D6	86	76	ON	0,606	64	0	N/A
4,545	1:3:96	B3	59	64	ON	0,237	25	0	N/A
4,848	1:3:128	C#4	61	64	ON	0,237	25	0	N/A
4,848	1:3:128	C#5	73	76	ON	0,606	64	0	N/A
4,848	1:3:128	C#6	85	76	ON	0,606	64	0	N/A
5,152	1:3:160	A3	57	64	ON	0,237	25	0	N/A
5,455	2:1:0	E2	40	64	ON	0,237	25	0	N/A
5,455	2:1:0	B4	71	76	ON	0,483	51	0	N/A
5,455	2:1:0	B5	83	76	ON	0,483	51	0	N/A
5,758	2:1:32	E3	52	64	ON	0,237	25	0	N/A
6,061	2:1:64	G#3	56	64	ON	0,237	25	0	N/A
6,061	2:1:64	C#5	73	76	ON	0,483	51	0	N/A
6,061	2:1:64	C#6	85	76	ON	0,483	51	0	N/A
6,364	2:1:96	A3	57	64	ON	0,237	25	0	N/A
6,667	2:1:128	B3	59	64	ON	0,237	25	0	N/A
6,667	2:1:128	D5	74	76	ON	0,483	51	0	N/A
6,667	2:1:128	D6	86	76	ON	0,483	51	0	N/A
6,970	2:1:160	G#3	56	64	ON	0,237	25	0	N/A
7,273	2:2:0	A2	45	64	ON	0,237	25	0	N/A
7,273	2:2:0	F#5	78	76	ON	0,483	51	0	N/A
7,273	2:2:0	F#6	90	76	ON	0,483	51	0	N/A
7,576	2:2:32	E3	52	64	ON	0,237	25	0	N/A
7,879	2:2:64	A3	57	64	ON	0,237	25	0	N/A
7,879	2:2:64	E5	76	76	ON	0,483	51	0	N/A
7,879	2:2:64	E6	88	76	ON	0,483	51	0	N/A
8,182	2:2:96	B3	59	64	ON	0,237	25	0	N/A
8,485	2:2:128	C#4	61	64	ON	0,237	25	0	N/A
8,485	2:2:128	C#5	73	76	ON	0,483	51	0	N/A
8,485	2:2:128	C#6	85	76	ON	0,483	51	0	N/A
8,788	2:2:160	A3	57	64	ON	0,237	25	0	N/A
9,091	2:3:0	D3	50	64	ON	0,237	25	0	N/A
9,091	2:3:0	A4	69	76	ON	0,606	64	0	N/A
9,091	2:3:0	A5	81	76	ON	0,606	64	0	N/A
9,394	2:3:32	A3	57	64	ON	0,237	25	0	N/A
9,697	2:3:64	D4	62	64	ON	0,237	25	0	N/A
9,697	2:3:64	F#4	66	76	ON	0,606	64	0	N/A
9,697	2:3:64	F#5	78	76	ON	0,606	64	0	N/A
10,000	2:3:96	E4	64	64	ON	0,237	25	0	N/A
10,303	2:3:128	D4	62	64	ON	0,237	25	0	N/A
10,303	2:3:128	A4	69	76	ON	0,606	64	0	N/A
10,303	2:3:128	A5	81	76	ON	0,606	64	0	N/A
10,606	2:3:160	A3	57	64	ON	0,237	25	0	N/A
10,909	3:1:0	A2	45	64	ON	0,852	90	0	N/A
10,909	3:1:0	E4	64	76	ON	0,852	90	0	N/A
10,909	3:1:0	E5	76	76	ON	0,852	90	0	N/A
