Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C4	60	64	OFF	0,244	153	0	N/A
0,000	1:1:0	C5	72	76	OFF	0,121	76	0	N/A
0,153	1:1:96	G4	67	76	OFF	0,121	76	0	N/A
0,306	1:2:0	E4	64	64	OFF	0,244	153	0	N/A
0,306	1:2:0	G4	67	64	OFF	0,244	153	0	N/A
0,306	1:2:0	E5	76	76	OFF	0,121	76	0	N/A
0,459	1:2:96	C5	72	76	OFF	0,121	76	0	N/A
0,612	1:3:0	E4	64	64	OFF	0,244	153	0	N/A
0,612	1:3:0	G4	67	64	OFF	0,244	153	0	N/A
0,612	1:3:0	G5	79	76	OFF	0,121	76	0	N/A
0,765	1:3:96	E5	76	76	OFF	0,121	76	0	N/A
0,918	2:1:0	C4	60	64	OFF	0,244	153	0	N/A
0,918	2:1:0	C6	84	76	OFF	0,244	153	0	N/A
1,224	2:2:0	E4	64	64	OFF	0,244	153	0	N/A
1,224	2:2:0	G4	67	64	OFF	0,244	153	0	N/A
1,224	2:2:0	G5	79	76	OFF	0,244	153	0	N/A
1,531	2:3:0	E4	64	64	OFF	0,244	153	0	N/A
1,531	2:3:0	G4	67	64	OFF	0,244	153	0	N/A
1,531	2:3:0	G5	79	76	OFF	0,244	153	0	N/A
1,837	3:1:0	C4	60	64	OFF	0,244	153	0	N/A
1,837	3:1:0	A5	81	76	OFF	0,121	76	0	N/A
1,990	3:1:96	C6	84	76	OFF	0,121	76	0	N/A
2,143	3:2:0	F4	65	64	OFF	0,244	153	0	N/A
2,143	3:2:0	A4	69	64	OFF	0,244	153	0	N/A
2,143	3:2:0	B5	83	76	OFF	0,121	76	0	N/A
2,296	3:2:96	A5	81	76	OFF	0,121	76	0	N/A
2,449	3:3:0	F4	65	64	OFF	0,244	153	0	N/A
2,449	3:3:0	A4	69	64	OFF	0,244	153	0	N/A
2,449	3:3:0	G5	79	76	OFF	0,121	76	0	N/A
2,602	3:3:96	F5	77	76	OFF	0,121	76	0	N/A
2,755	4:1:0	B3	59	64	OFF	0,244	153	0	N/A
2,755	4:1:0	G5	79	76	OFF	0,121	76	0	N/A
2,908	4:1:96	A5	81	76	OFF	0,121	76	0	N/A
3,061	4:2:0	G4	67	64	OFF	0,244	153	0	N/A
3,061	4:2:0	B4	71	64	OFF	0,244	153	0	N/A
3,061	4:2:0	G5	79	76	OFF	0,121	76	0	N/A
3,214	4:2:96	F5	77	76	OFF	0,121	76	0	N/A
3,367	4:3:0	G4	67	64	OFF	0,244	153	0	N/A
3,367	4:3:0	B4	71	64	OFF	0,244	153	0	N/A
3,367	4:3:0	E5	76	76	OFF	0,121	76	0	N/A
3,520	4:3:96	D5	74	76	OFF	0,121	76	0	N/A
3,673	5:1:0	C4	60	64	OFF	0,244	153	0	N/A
3,673	5:1:0	C5	72	76	OFF	0,121	76	0	N/A
3,827	5:1:96	G4	67	76	OFF	0,121	76	0	N/A
3,980	5:2:0	E4	64	64	OFF	0,244	153	0	N/A
3,980	5:2:0	G4	67	64	OFF	0,244	153	0	N/A
3,980	5:2:0	E5	76	76	OFF	0,121	76	0	N/A
4,133	5:2:96	C5	72	76	OFF	0,121	76	0	N/A
4,286	5:3:0	E4	64	64	OFF	0,244	153	0	N/A
4,286	5:3:0	G4	67	64	OFF	0,244	153	0	N/A
4,286	5:3:0	G5	79	76	OFF	0,121	76	0	N/A
4,439	5:3:96	E5	76	76	OFF	0,121	76	0	N/A
4,592	6:1:0	C4	60	64	OFF	0,244	153	0	N/A
4,592	6:1:0	C6	84	76	OFF	0,244	153	0	N/A
4,898	6:2:0	E4	64	64	OFF	0,244	153	0	N/A
4,898	6:2:0	G4	67	64	OFF	0,244	153	0	N/A
4,898	6:2:0	G5	79	76	OFF	0,244	153	0	N/A
5,204	6:3:0	E4	64	64	OFF	0,244	153	0	N/A
5,204	6:3:0	G4	67	64	OFF	0,244	153	0	N/A
5,204	6:3:0	G5	79	76	OFF	0,244	153	0	N/A
