Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	E4	64	60	OFF	0,124	38	0	N/A
0,156	1:1:48	E5	76	60	OFF	0,124	38	0	N/A
0,313	1:1:96	E4	64	60	OFF	0,124	38	0	N/A
0,469	1:1:144	E5	76	60	OFF	0,124	38	0	N/A
0,625	1:2:0	E4	64	60	OFF	0,124	38	0	N/A
0,781	1:2:48	E5	76	60	OFF	0,124	38	0	N/A
0,938	1:2:96	E4	64	60	OFF	0,124	38	0	N/A
1,094	1:2:144	E5	76	60	OFF	0,124	38	0	N/A
1,250	1:3:0	E4	64	60	OFF	0,124	38	0	N/A
1,406	1:3:48	E5	76	60	OFF	0,124	38	0	N/A
1,563	1:3:96	E4	64	60	OFF	0,124	38	0	N/A
1,719	1:3:144	E5	76	60	OFF	0,124	38	0	N/A
1,875	2:1:0	E4	64	60	OFF	0,124	38	0	N/A
2,031	2:1:48	E5	76	60	OFF	0,124	38	0	N/A
2,188	2:1:96	E4	64	60	OFF	0,124	38	0	N/A
2,344	2:1:144	E5	76	60	OFF	0,124	38	0	N/A
2,500	2:2:0	A1	33	84	OFF	0,586	180	0	N/A
2,500	2:2:0	A2	45	84	OFF	0,586	180	0	N/A
2,500	2:2:0	E4	64	60	OFF	0,124	38	0	N/A
2,656	2:2:48	E5	76	60	OFF	0,124	38	0	N/A
2,813	2:2:96	E4	64	60	OFF	0,124	38	0	N/A
2,969	2:2:144	E5	76	60	OFF	0,124	38	0	N/A
3,125	2:3:0	E4	64	60	OFF	0,124	38	0	N/A
3,125	2:3:0	B5	83	84	OFF	0,104	32	0	N/A
3,125	2:3:0	C6	84	84	OFF	0,104	32	0	N/A
3,281	2:3:48	E5	76	60	OFF	0,124	38	0	N/A
3,438	2:3:96	E4	64	60	OFF	0,124	38	0	N/A
3,594	2:3:144	E5	76	60	OFF	0,124	38	0	N/A
3,750	3:1:0	E4	64	60	OFF	0,124	38	0	N/A
3,906	3:1:48	E5	76	60	OFF	0,124	38	0	N/A
4,063	3:1:96	E4	64	60	OFF	0,124	38	0	N/A
4,219	3:1:144	E5	76	60	OFF	0,124	38	0	N/A
4,375	3:2:0	E4	64	60	OFF	0,124	38	0	N/A
4,531	3:2:48	E5	76	60	OFF	0,124	38	0	N/A
4,688	3:2:96	E4	64	60	OFF	0,124	38	0	N/A
4,844	3:2:144	E5	76	60	OFF	0,124	38	0	N/A
5,000	3:3:0	A2	45	84	OFF	0,586	180	0	N/A
5,000	3:3:0	E3	52	84	OFF	0,586	180	0	N/A
5,000	3:3:0	A3	57	84	OFF	0,586	180	0	N/A
5,000	3:3:0	E4	64	60	OFF	0,124	38	0	N/A
5,156	3:3:48	E5	76	60	OFF	0,124	38	0	N/A
5,313	3:3:96	E4	64	60	OFF	0,124	38	0	N/A
5,469	3:3:144	E5	76	60	OFF	0,124	38	0	N/A
5,469	3:3:144	B5	83	84	OFF	0,124	38	0	N/A
5,469	3:3:144	C6	84	84	OFF	0,124	38	0	N/A
5,625	4:1:0	E4	64	60	OFF	0,124	38	0	N/A
5,625	4:1:0	C6	84	84	OFF	0,104	32	0	N/A
5,625	4:1:0	D6	86	84	OFF	0,104	32	0	N/A
5,781	4:1:48	E5	76	60	OFF	0,124	38	0	N/A
5,938	4:1:96	E4	64	60	OFF	0,124	38	0	N/A
6,094	4:1:144	E5	76	60	OFF	0,124	38	0	N/A
6,250	4:2:0	E4	64	60	OFF	0,124	38	0	N/A
6,406	4:2:48	E5	76	60	OFF	0,124	38	0	N/A
6,563	4:2:96	E4	64	60	OFF	0,124	38	0	N/A
6,719	4:2:144	E5	76	60	OFF	0,124	38	0	N/A
6,875	4:3:0	E4	64	60	OFF	0,124	38	0	N/A
7,031	4:3:48	E5	76	60	OFF	0,124	38	0	N/A
7,188	4:3:96	E4	64	60	OFF	0,124	38	0	N/A
7,344	4:3:144	E5	76	60	OFF	0,124	38	0	N/A
7,500	5:1:0	A1	33	84	OFF	0,586	180	0	N/A
7,500	5:1:0	A2	45	84	OFF	0,586	180	0	N/A
7,500	5:1:0	E4	64	60	OFF	0,124	38	0	N/A
7,656	5:1:48	E5	76	60	OFF	0,124	38	0	N/A
7,813	5:1:96	E4	64	60	OFF	0,124	38	0	N/A
7,969	5:1:144	E5	76	60	OFF	0,124	38	0	N/A
8,125	5:2:0	E4	64	60	OFF	0,124	38	0	N/A
8,125	5:2:0	B5	83	84	OFF	0,124	38	0	N/A
8,125	5:2:0	C6	84	84	OFF	0,124	38	0	N/A
8,281	5:2:48	E5	76	60	OFF	0,124	38	0	N/A
