Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C3	48	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,000	1:1:0	C5	72	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
0,125	1:1:48	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,250	1:1:96	B3	59	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,250	1:1:96	G4	67	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
0,375	1:1:144	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,500	1:2:0	B3	59	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,625	1:2:48	A3	57	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,750	1:2:96	G3	55	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
0,750	1:2:96	G4	67	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
0,875	1:2:144	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,000	1:3:0	A3	57	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,000	1:3:0	F4	65	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
1,125	1:3:48	G3	55	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,250	1:3:96	F3	53	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,250	1:3:96	E4	64	84	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,375	1:3:144	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,375	1:3:144	D4	62	84	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,500	1:4:0	G3	55	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,500	1:4:0	E4	64	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
1,625	1:4:48	F3	53	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,750	1:4:96	E3	52	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
1,750	1:4:96	G4	67	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
1,875	1:4:144	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,000	2:1:0	D3	50	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,125	2:1:48	D4	62	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,250	2:1:96	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,250	2:1:96	G4	67	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
2,375	2:1:144	D4	62	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,500	2:2:0	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,500	2:2:0	A4	69	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
2,625	2:2:48	B3	59	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,750	2:2:96	A3	57	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,750	2:2:96	B4	71	84	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,875	2:2:144	G3	55	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
2,875	2:2:144	C5	72	84	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,000	2:3:0	F3	53	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,000	2:3:0	D5	74	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
3,125	2:3:48	D4	62	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,250	2:3:96	G3	55	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,250	2:3:96	C5	72	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
3,375	2:3:144	F3	53	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,500	2:4:0	E3	52	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,500	2:4:0	G4	67	84	OFF	0,398	153	0	0 (Acoustic Grand Piano)
3,625	2:4:48	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,750	2:4:96	E3	52	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
3,875	2:4:144	C3	48	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,000	3:1:0	F3	53	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,125	3:1:48	C4	60	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,250	3:1:96	A3	57	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,250	3:1:96	A4	69	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
4,375	3:1:144	F3	53	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,500	3:2:0	E3	52	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,500	3:2:0	B4	71	84	OFF	0,198	76	0	0 (Acoustic Grand Piano)
4,625	3:2:48	C3	48	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
4,750	3:2:96	E3	52	64	OFF	0,099	38	0	0 (Acoustic Grand Piano)
