Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	A2	45	64	OFF	0,334	153	0	N/A
0,000	1:1:0	A4	69	80	OFF	0,503	230	0	N/A
0,420	1:2:0	A3	57	64	OFF	0,334	153	0	N/A
0,420	1:2:0	D4	62	64	OFF	0,334	153	0	N/A
0,629	1:2:96	F#4	66	80	OFF	0,083	38	0	N/A
0,734	1:2:144	G#4	68	80	OFF	0,083	38	0	N/A
0,839	1:3:0	A3	57	64	OFF	0,334	153	0	N/A
0,839	1:3:0	C#4	61	64	OFF	0,334	153	0	N/A
0,839	1:3:0	A4	69	80	OFF	0,083	38	0	N/A
0,944	1:3:48	B4	71	80	OFF	0,083	38	0	N/A
1,049	1:3:96	C#5	73	80	OFF	0,083	38	0	N/A
1,154	1:3:144	E5	76	80	OFF	0,083	38	0	N/A
1,259	2:1:0	E3	52	64	OFF	0,334	153	0	N/A
1,259	2:1:0	C#4	61	64	OFF	0,334	153	0	N/A
1,259	2:1:0	A5	81	80	OFF	0,166	76	0	N/A
1,469	2:1:96	B5	83	80	OFF	0,166	76	0	N/A
1,678	2:2:0	E3	52	64	OFF	0,334	153	0	N/A
1,678	2:2:0	A3	57	64	OFF	0,334	153	0	N/A
1,678	2:2:0	C#6	85	80	OFF	0,334	153	0	N/A
2,098	2:3:0	A2	45	64	OFF	0,334	153	0	N/A
2,098	2:3:0	E6	88	80	OFF	0,334	153	0	N/A
2,517	3:1:0	D3	50	64	OFF	0,334	153	0	N/A
2,517	3:1:0	D6	86	80	OFF	0,503	230	0	N/A
2,937	3:2:0	F#3	54	64	OFF	0,334	153	0	N/A
2,937	3:2:0	A3	57	64	OFF	0,334	153	0	N/A
3,147	3:2:96	D6	86	80	OFF	0,083	38	0	N/A
3,252	3:2:144	C#6	85	80	OFF	0,083	38	0	N/A
3,357	3:3:0	F#3	54	64	OFF	0,334	153	0	N/A
3,357	3:3:0	D4	62	64	OFF	0,334	153	0	N/A
3,357	3:3:0	B5	83	80	OFF	0,083	38	0	N/A
3,462	3:3:48	A5	81	80	OFF	0,083	38	0	N/A
3,566	3:3:96	G#5	80	80	OFF	0,083	38	0	N/A
3,671	3:3:144	A5	81	80	OFF	0,083	38	0	N/A
3,776	4:1:0	E3	52	64	OFF	0,334	153	0	N/A
3,776	4:1:0	A3	57	64	OFF	0,334	153	0	N/A
3,776	4:1:0	C#6	85	80	OFF	0,334	153	0	N/A
4,196	4:2:0	E3	52	64	OFF	0,334	153	0	N/A
4,196	4:2:0	G#3	56	64	OFF	0,334	153	0	N/A
4,196	4:2:0	B5	83	80	OFF	0,334	153	0	N/A
4,615	4:3:0	E3	52	64	OFF	0,334	153	0	N/A
4,615	4:3:0	D4	62	64	OFF	0,334	153	0	N/A
4,615	4:3:0	E5	76	80	OFF	0,334	153	0	N/A
5,035	5:1:0	A2	45	64	OFF	0,334	153	0	N/A
5,035	5:1:0	A4	69	80	OFF	0,503	230	0	N/A
5,455	5:2:0	A3	57	64	OFF	0,334	153	0	N/A
5,455	5:2:0	D4	62	64	OFF	0,334	153	0	N/A
5,664	5:2:96	F#4	66	80	OFF	0,083	38	0	N/A
5,769	5:2:144	G#4	68	80	OFF	0,083	38	0	N/A
5,874	5:3:0	A3	57	64	OFF	0,334	153	0	N/A
5,874	5:3:0	C#4	61	64	OFF	0,334	153	0	N/A
5,874	5:3:0	A4	69	80	OFF	0,083	38	0	N/A
5,979	5:3:48	B4	71	80	OFF	0,083	38	0	N/A
6,084	5:3:96	C#5	73	80	OFF	0,083	38	0	N/A
6,189	5:3:144	E5	76	80	OFF	0,083	38	0	N/A
6,294	6:1:0	E3	52	64	OFF	0,334	153	0	N/A
6,294	6:1:0	C#4	61	64	OFF	0,334	153	0	N/A
6,294	6:1:0	A5	81	80	OFF	0,166	76	0	N/A
6,503	6:1:96	B5	83	80	OFF	0,166	76	0	N/A
6,713	6:2:0	E3	52	64	OFF	0,334	153	0	N/A
6,713	6:2:0	A3	57	64	OFF	0,334	153	0	N/A
6,713	6:2:0	C#6	85	80	OFF	0,334	153	0	N/A
7,133	6:3:0	A2	45	64	OFF	0,334	153	0	N/A
7,133	6:3:0	E6	88	80	OFF	0,334	153	0	N/A
7,552	7:1:0	D3	50	64	OFF	0,334	153	0	N/A
7,552	7:1:0	D6	86	80	OFF	0,503	230	0	N/A
7,972	7:2:0	F#3	54	64	OFF	0,334	153	0	N/A
7,972	7:2:0	A3	57	64	OFF	0,334	153	0	N/A
8,182	7:2:96	B5	83	80	OFF	0,083	38	0	N/A
8,287	7:2:144	A5	81	80	OFF	0,083	38	0	N/A
8,392	7:3:0	E3	52	64	OFF	0,334	153	0	N/A
8,392	7:3:0	D4	62	64	OFF	0,334	153	0	N/A
8,392	7:3:0	G#5	80	80	OFF	0,083	38	0	N/A
8,496	7:3:48	A5	81	80	OFF	0,083	38	0	N/A
8,601	7:3:96	B5	83	80	OFF	0,083	38	0	N/A
8,706	7:3:144	C#6	85	80	OFF	0,083	38	0	N/A
8,811	8:1:0	A2	45	64	OFF	0,334	153	0	N/A
8,811	8:1:0	A5	81	80	OFF	1,005	460	0	N/A
9,231	8:2:0	E3	52	64	OFF	0,787	360	0	N/A
9,231	8:2:0	C#4	61	64	OFF	0,787	360	0	N/A
