Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	D3	50	64	OFF	0,111	38	0	N/A
0,140	1:1:48	F#3	54	64	OFF	0,111	38	0	N/A
0,280	1:1:96	A3	57	64	OFF	0,111	38	0	N/A
0,280	1:1:96	F#5	78	84	OFF	0,502	172	0	N/A
0,421	1:1:144	D4	62	64	OFF	0,111	38	0	N/A
0,561	1:2:0	G4	67	64	OFF	0,111	38	0	N/A
0,701	1:2:48	D4	62	64	OFF	0,111	38	0	N/A
0,841	1:2:96	B3	59	64	OFF	0,111	38	0	N/A
0,841	1:2:96	E5	76	84	OFF	0,263	90	0	N/A
0,981	1:2:144	G3	55	64	OFF	0,111	38	0	N/A
1,121	1:3:0	D3	50	64	OFF	0,111	38	0	N/A
1,121	1:3:0	E5	76	84	OFF	0,841	288	0	N/A
1,262	1:3:48	F#3	54	64	OFF	0,111	38	0	N/A
1,402	1:3:96	A3	57	64	OFF	0,111	38	0	N/A
1,542	1:3:144	D4	62	64	OFF	0,111	38	0	N/A
1,682	1:4:0	G4	67	64	OFF	0,111	38	0	N/A
1,822	1:4:48	D4	62	64	OFF	0,111	38	0	N/A
1,963	1:4:96	B3	59	64	OFF	0,111	38	0	N/A
1,963	1:4:96	D5	74	80	OFF	0,222	76	0	N/A
2,103	1:4:144	G3	55	64	OFF	0,111	38	0	N/A
2,243	2:1:0	D3	50	64	OFF	0,111	38	0	N/A
2,243	2:1:0	F#5	78	84	OFF	0,222	76	0	N/A
2,383	2:1:48	F#3	54	64	OFF	0,111	38	0	N/A
2,523	2:1:96	A3	57	64	OFF	0,111	38	0	N/A
2,523	2:1:96	E5	76	84	OFF	0,222	76	0	N/A
2,664	2:1:144	D4	62	64	OFF	0,111	38	0	N/A
2,804	2:2:0	G4	67	64	OFF	0,111	38	0	N/A
2,804	2:2:0	D5	74	84	OFF	0,222	76	0	N/A
2,944	2:2:48	D4	62	64	OFF	0,111	38	0	N/A
3,084	2:2:96	B3	59	64	OFF	0,111	38	0	N/A
3,084	2:2:96	E5	76	84	OFF	0,111	38	0	N/A
3,224	2:2:144	G3	55	64	OFF	0,111	38	0	N/A
3,224	2:2:144	F#5	78	84	OFF	0,111	38	0	N/A
3,364	2:3:0	E3	52	64	OFF	0,111	38	0	N/A
3,364	2:3:0	B5	83	84	OFF	0,526	180	0	N/A
3,505	2:3:48	G3	55	64	OFF	0,111	38	0	N/A
3,645	2:3:96	B3	59	64	OFF	0,111	38	0	N/A
3,785	2:3:144	E4	64	64	OFF	0,111	38	0	N/A
3,925	2:4:0	C#4	61	64	OFF	0,111	38	0	N/A
3,925	2:4:0	A5	81	84	OFF	0,263	90	0	N/A
4,065	2:4:48	A3	57	64	OFF	0,111	38	0	N/A
4,206	2:4:96	E3	52	64	OFF	0,111	38	0	N/A
4,206	2:4:96	G5	79	84	OFF	0,222	76	0	N/A
4,346	2:4:144	A2	45	64	OFF	0,111	38	0	N/A
4,486	3:1:0	D3	50	64	OFF	0,111	38	0	N/A
4,486	3:1:0	F#5	78	80	OFF	0,336	115	0	N/A
4,626	3:1:48	F#3	54	64	OFF	0,111	38	0	N/A
4,766	3:1:96	A3	57	64	OFF	0,111	38	0	N/A
4,907	3:1:144	D4	62	64	OFF	0,111	38	0	N/A
4,907	3:1:144	E5	76	80	OFF	0,111	38	0	N/A
5,047	3:2:0	G4	67	64	OFF	0,111	38	0	N/A
5,047	3:2:0	D5	74	84	OFF	0,222	76	0	N/A
5,187	3:2:48	D4	62	64	OFF	0,111	38	0	N/A
5,327	3:2:96	B3	59	64	OFF	0,111	38	0	N/A
5,327	3:2:96	E5	76	84	OFF	0,111	38	0	N/A
5,467	3:2:144	G3	55	64	OFF	0,111	38	0	N/A
5,467	3:2:144	F#5	78	84	OFF	0,111	38	0	N/A
5,607	3:3:0	E3	52	64	OFF	0,111	38	0	N/A
5,607	3:3:0	B4	71	84	OFF	0,222	76	0	N/A
5,748	3:3:48	G3	55	64	OFF	0,111	38	0	N/A
5,888	3:3:96	B3	59	64	OFF	0,111	38	0	N/A
5,888	3:3:96	C#5	73	84	OFF	0,222	76	0	N/A
6,028	3:3:144	D4	62	64	OFF	0,111	38	0	N/A
6,168	3:4:0	E4	64	64	OFF	0,111	38	0	N/A
6,168	3:4:0	D5	74	84	OFF	0,447	153	0	N/A
6,308	3:4:48	D4	62	64	OFF	0,111	38	0	N/A
6,449	3:4:96	B3	59	64	OFF	0,111	38	0	N/A
6,589	3:4:144	G3	55	64	OFF	0,111	38	0	N/A
6,729	4:1:0	A3	57	64	OFF	0,111	38	0	N/A
6,729	4:1:0	G5	79	84	OFF	0,222	76	0	N/A
6,869	4:1:48	D4	62	64	OFF	0,111	38	0	N/A
7,009	4:1:96	A3	57	64	OFF	0,111	38	0	N/A
7,009	4:1:96	F#5	78	84	OFF	0,222	76	0	N/A
7,150	4:1:144	F#3	54	64	OFF	0,111	38	0	N/A
7,290	4:2:0	A3	57	64	OFF	0,111	38	0	N/A
7,290	4:2:0	E5	76	84	OFF	0,336	115	0	N/A
7,430	4:2:48	C#4	61	64	OFF	0,111	38	0	N/A
7,570	4:2:96	A3	57	64	OFF	0,111	38	0	N/A
7,710	4:2:144	A2	45	64	OFF	0,111	38	0	N/A
7,710	4:2:144	D5	74	84	OFF	0,111	38	0	N/A
7,850	4:3:0	D3	50	64	OFF	0,111	38	0	N/A
7,850	4:3:0	D5	74	84	OFF	0,897	307	0	N/A
7,991	4:3:48	F#3	54	64	OFF	0,111	38	0	N/A
8,131	4:3:96	A3	57	64	OFF	0,111	38	0	N/A
8,271	4:3:144	D4	62	64	OFF	0,111	38	0	N/A
8,411	4:4:0	D3	50	64	OFF	0,447	153	0	N/A
