Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	D2	38	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
0,500	1:2:0	F3	53	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
1,000	1:3:0	D3	50	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
1,500	1:4:0	D4	62	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
2,000	1:5:0	A3	57	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
2,000	1:5:0	A4	69	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
2,500	1:6:0	A2	45	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
2,500	1:6:0	A#4	70	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
3,000	2:1:0	D2	38	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
3,000	2:1:0	C5	72	80	ON	1,896	364	0	0 (Acoustic Grand Piano)
3,500	2:2:0	F3	53	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
4,000	2:3:0	D3	50	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
4,500	2:4:0	D4	62	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
5,000	2:5:0	A3	57	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
5,000	2:5:0	A#4	70	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
5,500	2:6:0	A2	45	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
5,500	2:6:0	A4	69	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
6,000	3:1:0	D2	38	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
6,000	3:1:0	A#4	70	80	ON	1,896	364	0	0 (Acoustic Grand Piano)
6,500	3:2:0	G3	55	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
7,000	3:3:0	D3	50	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
7,500	3:4:0	D4	62	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
8,000	3:5:0	A3	57	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
8,000	3:5:0	E4	64	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
8,000	3:5:0	G4	67	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
8,500	3:6:0	A2	45	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
8,500	3:6:0	D4	62	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
8,500	3:6:0	A4	69	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
9,000	4:1:0	D2	38	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
9,000	4:1:0	C#4	61	80	ON	0,938	180	0	0 (Acoustic Grand Piano)
9,000	4:1:0	A#4	70	80	ON	0,938	180	0	0 (Acoustic Grand Piano)
9,500	4:2:0	G3	55	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
10,000	4:3:0	D3	50	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
10,000	4:3:0	D4	62	80	ON	0,938	180	0	0 (Acoustic Grand Piano)
10,000	4:3:0	A4	69	80	ON	0,938	180	0	0 (Acoustic Grand Piano)
10,500	4:4:0	D4	62	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
11,000	4:5:0	A3	57	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
11,000	4:5:0	E4	64	80	ON	0,938	180	0	0 (Acoustic Grand Piano)
11,000	4:5:0	G4	67	80	ON	0,938	180	0	0 (Acoustic Grand Piano)
11,500	4:6:0	A2	45	64	ON	0,396	76	0	0 (Acoustic Grand Piano)
12,000	5:1:0	D2	38	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
12,000	5:1:0	F4	65	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
12,000	5:1:0	A4	69	80	ON	0,396	76	0	0 (Acoustic Grand Piano)
