Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	D#2	39	64	ON	0,396	76	0	N/A
0,500	1:1:96	A#2	46	64	ON	0,396	76	0	N/A
1,000	1:2:0	D#3	51	64	ON	0,396	76	0	N/A
1,500	1:2:96	G3	55	64	ON	0,396	76	0	N/A
2,000	1:3:0	A#3	58	64	ON	0,396	76	0	N/A
2,500	1:3:96	D#4	63	64	ON	0,396	76	0	N/A
3,000	1:4:0	A#3	58	64	ON	0,396	76	0	N/A
3,500	1:4:96	G3	55	64	ON	0,396	76	0	N/A
4,000	2:1:0	D#3	51	64	ON	0,396	76	0	N/A
4,500	2:1:96	G3	55	64	ON	0,396	76	0	N/A
5,000	2:2:0	A#3	58	64	ON	0,396	76	0	N/A
5,500	2:2:96	D#4	63	64	ON	0,396	76	0	N/A
6,000	2:3:0	A#3	58	64	ON	0,396	76	0	N/A
6,500	2:3:96	G3	55	64	ON	0,396	76	0	N/A
7,000	2:4:0	D#3	51	64	ON	0,396	76	0	N/A
7,000	2:4:0	A#4	70	80	ON	0,797	153	0	N/A
7,500	2:4:96	A#2	46	64	ON	0,396	76	0	N/A
8,000	3:1:0	D#2	39	64	ON	0,396	76	0	N/A
8,000	3:1:0	A#5	82	80	ON	0,797	153	0	N/A
8,500	3:1:96	A#2	46	64	ON	0,396	76	0	N/A
9,000	3:2:0	D#3	51	64	ON	0,396	76	0	N/A
9,000	3:2:0	A#4	70	80	ON	0,797	153	0	N/A
9,000	3:2:0	A#5	82	80	ON	0,797	153	0	N/A
9,500	3:2:96	G3	55	64	ON	0,396	76	0	N/A
10,000	3:3:0	A#3	58	64	ON	0,396	76	0	N/A
10,000	3:3:0	C5	72	80	ON	0,797	153	0	N/A
10,000	3:3:0	G#5	80	80	ON	0,797	153	0	N/A
10,500	3:3:96	D#4	63	64	ON	0,396	76	0	N/A
11,000	3:4:0	A#3	58	64	ON	0,396	76	0	N/A
11,500	3:4:96	G3	55	64	ON	0,396	76	0	N/A
11,500	3:4:96	D5	74	80	ON	0,469	90	0	N/A
11,500	3:4:96	G#5	80	80	ON	0,469	90	0	N/A
12,000	4:1:0	D#3	51	64	ON	0,396	76	0	N/A
12,000	4:1:0	D#5	75	80	ON	2,396	460	0	N/A
12,000	4:1:0	G5	79	80	ON	2,396	460	0	N/A
12,500	4:1:96	G3	55	64	ON	0,396	76	0	N/A
13,000	4:2:0	A#3	58	64	ON	0,396	76	0	N/A
13,500	4:2:96	D#4	63	64	ON	0,396	76	0	N/A
14,000	4:3:0	A#3	58	64	ON	0,396	76	0	N/A
14,500	4:3:96	G3	55	64	ON	0,396	76	0	N/A
15,000	5:1:0	D#3	51	64	ON	0,396	76	0	N/A
15,500	5:1:96	A#2	46	64	ON	0,396	76	0	N/A
